#GEN	x_best	f(x_best)	#eval
0	[-0.20020506  0.0555961 ]	0.04317299139736226	1024
1	[-0.0248383  -0.03764612]	0.002034170995144473	2048
2	[-0.0248383  -0.03764612]	0.002034170995144473	3072
3	[-0.0325276  -0.01359996]	0.0012430035609016375	4096
4	[-0.0325276  -0.01359996]	0.0012430035609016375	5120
5	[-0.01958639  0.00915732]	0.000467483228982729	6144
6	[-0.01958639  0.00915732]	0.000467483228982729	7168
7	[-0.01958639  0.00915732]	0.000467483228982729	8192
8	[-0.01958639  0.00915732]	0.000467483228982729	9216
9	[-0.01958639  0.00915732]	0.000467483228982729	10240
10	[-0.01958639  0.00915732]	0.000467483228982729	11264
11	[-0.01958639  0.00915732]	0.000467483228982729	12288
12	[-0.01958639  0.00915732]	0.000467483228982729	13312
13	[-0.01958639  0.00915732]	0.000467483228982729	14336
14	[ 0.00939655 -0.0027289 ]	9.574195674462533e-05	15360
15	[0.00687104 0.00195972]	5.105168436601407e-05	16384
16	[0.00687104 0.00195972]	5.105168436601407e-05	17408
17	[ 0.00043211 -0.00614901]	3.7997005637956724e-05	18432
18	[-0.00374354 -0.00326918]	2.4701642898805264e-05	19456
19	[-0.00374354 -0.00326918]	2.4701642898805264e-05	20480
20	[-0.00374354 -0.00326918]	2.4701642898805264e-05	21504
21	[ 0.00108429 -0.00434782]	2.0079179381821048e-05	22528
22	[-0.0027904   0.00125935]	9.372332001484162e-06	23552
23	[ 0.00277962 -0.001153  ]	9.05568302973875e-06	24576
24	[-0.00073098  0.00264425]	7.526385030452681e-06	25600
25	[-0.00102813  0.00011136]	1.0694515273405518e-06	26624
26	[-0.00102813  0.00011136]	1.0694515273405518e-06	27648
27	[-0.00102813  0.00011136]	1.0694515273405518e-06	28672
28	[-0.00102813  0.00011136]	1.0694515273405518e-06	29696
29	[ 0.00036588 -0.00034074]	2.499735440120335e-07	30720
30	[ 0.00036588 -0.00034074]	2.499735440120335e-07	31744
31	[4.79543627e-04 3.89717892e-05]	2.3148089043102786e-07	32768
32	[4.79543627e-04 3.89717892e-05]	2.3148089043102786e-07	33792
33	[-9.35000382e-07 -2.93552692e-05]	8.626060558238733e-10	34816
34	[-9.35000382e-07 -2.93552692e-05]	8.626060558238733e-10	35840
35	[-9.35000382e-07 -2.93552692e-05]	8.626060558238733e-10	36864
36	[-9.35000382e-07 -2.93552692e-05]	8.626060558238733e-10	37888
37	[-9.35000382e-07 -2.93552692e-05]	8.626060558238733e-10	38912
38	[-9.35000382e-07 -2.93552692e-05]	8.626060558238733e-10	39936
39	[-9.35000382e-07 -2.93552692e-05]	8.626060558238733e-10	40960
40	[-9.35000382e-07 -2.93552692e-05]	8.626060558238733e-10	41984
41	[-9.35000382e-07 -2.93552692e-05]	8.626060558238733e-10	43008
42	[-9.35000382e-07 -2.93552692e-05]	8.626060558238733e-10	44032
43	[-9.35000382e-07 -2.93552692e-05]	8.626060558238733e-10	45056
44	[-9.35000382e-07 -2.93552692e-05]	8.626060558238733e-10	46080
45	[2.04366008e-05 1.34406260e-05]	5.983050796098106e-10	47104
46	[2.04366008e-05 1.34406260e-05]	5.983050796098106e-10	48128
47	[6.28546122e-06 3.00905627e-06]	4.8561442435904e-11	49152
48	[6.28546122e-06 3.00905627e-06]	4.8561442435904e-11	50176
49	[6.28546122e-06 3.00905627e-06]	4.8561442435904e-11	51200
50	[6.28546122e-06 3.00905627e-06]	4.8561442435904e-11	52224
51	[6.28546122e-06 3.00905627e-06]	4.8561442435904e-11	53248
52	[6.27705702e-06 2.71759110e-06]	4.678674620464236e-11	54272
53	[6.27705702e-06 2.71759110e-06]	4.678674620464236e-11	55296
54	[6.27705702e-06 2.71759110e-06]	4.678674620464236e-11	56320
55	[6.27705702e-06 2.71759110e-06]	4.678674620464236e-11	57344
56	[6.27705702e-06 2.71759110e-06]	4.678674620464236e-11	58368
57	[6.27705702e-06 2.71759110e-06]	4.678674620464236e-11	59392
58	[-4.89395613e-06 -5.30805943e-07]	2.4232561517893647e-11	60416
59	[7.78441741e-07 3.44851591e-06]	1.2498233515058886e-11	61440
60	[7.78441741e-07 3.44851591e-06]	1.2498233515058886e-11	62464
61	[ 1.92111553e-06 -1.32830216e-06]	5.4550715297473145e-12	63488
62	[-1.62123877e-06  4.88076555e-07]	2.8666338652177105e-12	64512
63	[-1.62123877e-06  4.88076555e-07]	2.8666338652177105e-12	65536
64	[-1.62123877e-06  4.88076555e-07]	2.8666338652177105e-12	66560
65	[1.31819652e-06 8.47519878e-07]	2.4559320097020046e-12	67584
66	[1.31819652e-06 8.47519878e-07]	2.4559320097020046e-12	68608
67	[-1.38647661e-06  1.79206410e-07]	1.954432328875772e-12	69632
68	[-3.25264349e-08 -5.04259505e-07]	2.5533561714555774e-13	70656
69	[9.14140151e-08 9.15390579e-09]	8.440316152724422e-15	71680
70	[9.14140151e-08 9.15390579e-09]	8.440316152724422e-15	72704
71	[9.14140151e-08 9.15390579e-09]	8.440316152724422e-15	73728
72	[9.14140151e-08 9.15390579e-09]	8.440316152724422e-15	74752
73	[9.14140151e-08 9.15390579e-09]	8.440316152724422e-15	75776
74	[ 3.75677424e-08 -5.11171253e-08]	4.024295764557216e-15	76800
75	[ 3.75677424e-08 -5.11171253e-08]	4.024295764557216e-15	77824
76	[ 3.75677424e-08 -5.11171253e-08]	4.024295764557216e-15	78848
77	[ 3.75677424e-08 -5.11171253e-08]	4.024295764557216e-15	79872
78	[ 3.75677424e-08 -5.11171253e-08]	4.024295764557216e-15	80896
79	[ 3.75677424e-08 -5.11171253e-08]	4.024295764557216e-15	81920
80	[2.27544398e-08 3.85106548e-08]	2.0008350614754548e-15	82944
81	[2.27544398e-08 3.85106548e-08]	2.0008350614754548e-15	83968
82	[2.27544398e-08 3.85106548e-08]	2.0008350614754548e-15	84992
83	[2.27544398e-08 3.85106548e-08]	2.0008350614754548e-15	86016
84	[2.27544398e-08 3.85106548e-08]	2.0008350614754548e-15	87040
85	[ 6.40552892e-09 -2.35884302e-08]	5.974448382119668e-16	88064
86	[ 6.40552892e-09 -2.35884302e-08]	5.974448382119668e-16	89088
87	[-1.74815706e-08  1.84105823e-09]	3.0899480585815296e-16	90112
88	[-1.74815706e-08  1.84105823e-09]	3.0899480585815296e-16	91136
89	[1.28376426e-08 6.05678239e-09]	2.0148967953725373e-16	92160
90	[ 7.09363452e-09 -6.62148562e-09]	9.41637224029939e-17	93184
91	[ 7.09363452e-09 -6.62148562e-09]	9.41637224029939e-17	94208
92	[ 7.09363452e-09 -6.62148562e-09]	9.41637224029939e-17	95232
93	[-2.70507835e-09 -2.58749728e-09]	1.4012591042734008e-17	96256
94	[-2.70507835e-09 -2.58749728e-09]	1.4012591042734008e-17	97280
95	[-2.70507835e-09 -2.58749728e-09]	1.4012591042734008e-17	98304
96	[-2.70507835e-09 -2.58749728e-09]	1.4012591042734008e-17	99328
97	[-2.70507835e-09 -2.58749728e-09]	1.4012591042734008e-17	100352
#Result: mean = 0.0005540400333308844	std = 0.00434151300039515
