#GEN	x_best	f(x_best)	#eval
0	[-0.22335147  0.01338434]	0.05006502110093532	128
1	[-0.22335147  0.01338434]	0.05006502110093532	256
2	[-0.22335147  0.01338434]	0.05006502110093532	384
3	[-0.22335147  0.01338434]	0.05006502110093532	512
4	[-0.22335147  0.01338434]	0.05006502110093532	640
5	[-0.22335147  0.01338434]	0.05006502110093532	768
6	[0.15896499 0.00186771]	0.02527335641920661	896
7	[0.15896499 0.00186771]	0.02527335641920661	1024
8	[0.15896499 0.00186771]	0.02527335641920661	1152
9	[0.15896499 0.00186771]	0.02527335641920661	1280
10	[0.15896499 0.00186771]	0.02527335641920661	1408
11	[ 0.04919477 -0.05277688]	0.005205523897002674	1536
12	[ 0.04919477 -0.05277688]	0.005205523897002674	1664
13	[ 0.04919477 -0.05277688]	0.005205523897002674	1792
14	[ 0.02565598 -0.06375689]	0.004723170176703525	1920
15	[0.01199803 0.0185653 ]	0.0004886230811842766	2048
16	[0.01199803 0.0185653 ]	0.0004886230811842766	2176
17	[0.01199803 0.0185653 ]	0.0004886230811842766	2304
18	[-0.00178255 -0.01869564]	0.00035270453789376215	2432
19	[-0.00178255 -0.01869564]	0.00035270453789376215	2560
20	[-0.00178255 -0.01869564]	0.00035270453789376215	2688
21	[-0.00178255 -0.01869564]	0.00035270453789376215	2816
22	[-0.01087124  0.00052567]	0.00011846027229705205	2944
23	[ 0.00184474 -0.00931019]	9.008278514904789e-05	3072
24	[-0.00310416  0.00875402]	8.626870569648527e-05	3200
25	[-0.00310416  0.00875402]	8.626870569648527e-05	3328
26	[ 0.00377515 -0.00062328]	1.4640205920298083e-05	3456
27	[ 0.0022913 -0.0019237]	8.950663355408143e-06	3584
28	[ 0.0022913 -0.0019237]	8.950663355408143e-06	3712
29	[ 0.0022913 -0.0019237]	8.950663355408143e-06	3840
30	[ 0.0022913 -0.0019237]	8.950663355408143e-06	3968
31	[-1.48684350e-03  1.12021879e-05]	2.210829088855744e-06	4096
32	[-1.48684350e-03  1.12021879e-05]	2.210829088855744e-06	4224
33	[-1.48684350e-03  1.12021879e-05]	2.210829088855744e-06	4352
34	[-1.48684350e-03  1.12021879e-05]	2.210829088855744e-06	4480
35	[0.00034588 0.00106237]	1.2482620206904532e-06	4608
36	[0.00016855 0.00030921]	1.2402222125022177e-07	4736
37	[0.00016855 0.00030921]	1.2402222125022177e-07	4864
38	[-4.77749698e-05  3.12463815e-04]	9.991608368700881e-08	4992
39	[-1.95808376e-04 -3.57103898e-06]	3.8353672587106854e-08	5120
40	[-1.95808376e-04 -3.57103898e-06]	3.8353672587106854e-08	5248
41	[-1.95808376e-04 -3.57103898e-06]	3.8353672587106854e-08	5376
42	[-1.95808376e-04 -3.57103898e-06]	3.8353672587106854e-08	5504
43	[-1.95808376e-04 -3.57103898e-06]	3.8353672587106854e-08	5632
44	[-1.95808376e-04 -3.57103898e-06]	3.8353672587106854e-08	5760
45	[-1.95808376e-04 -3.57103898e-06]	3.8353672587106854e-08	5888
46	[-1.95808376e-04 -3.57103898e-06]	3.8353672587106854e-08	6016
47	[1.51656436e-04 9.18499101e-05]	3.143608047494964e-08	6144
48	[1.51656436e-04 9.18499101e-05]	3.143608047494964e-08	6272
49	[-1.20710080e-04  6.07722223e-05]	1.8264186504106828e-08	6400
50	[-2.51045870e-05 -7.22410696e-05]	5.8490124287442514e-09	6528
51	[ 9.16879516e-06 -2.74329775e-05]	8.366350564623775e-10	6656
52	[ 9.16879516e-06 -2.74329775e-05]	8.366350564623775e-10	6784
53	[ 9.16879516e-06 -2.74329775e-05]	8.366350564623775e-10	6912
54	[ 9.16879516e-06 -2.74329775e-05]	8.366350564623775e-10	7040
55	[ 9.16879516e-06 -2.74329775e-05]	8.366350564623775e-10	7168
56	[ 9.16879516e-06 -2.74329775e-05]	8.366350564623775e-10	7296
57	[ 9.16879516e-06 -2.74329775e-05]	8.366350564623775e-10	7424
58	[2.75249308e-06 2.73779657e-05]	7.571292265728636e-10	7552
59	[ 1.20142199e-05 -6.18210676e-06]	1.8255992469179622e-10	7680
60	[-9.10249469e-06  1.69524436e-06]	8.572926303215003e-11	7808
61	[-9.10249469e-06  1.69524436e-06]	8.572926303215003e-11	7936
62	[2.75249308e-06 3.56819625e-06]	2.030824262809294e-11	8064
63	[2.75249308e-06 3.56819625e-06]	2.030824262809294e-11	8192
64	[2.75249308e-06 3.56819625e-06]	2.030824262809294e-11	8320
65	[ 8.49557819e-07 -3.28462840e-06]	1.151053219284629e-11	8448
66	[ 8.49557819e-07 -3.28462840e-06]	1.151053219284629e-11	8576
67	[-1.39477775e-06  2.11409374e-07]	1.9900988883242333e-12	8704
68	[-1.39477775e-06  2.11409374e-07]	1.9900988883242333e-12	8832
69	[ 6.28788935e-07 -7.00803260e-07]	8.865007332518859e-13	8960
70	[ 6.28788935e-07 -7.00803260e-07]	8.865007332518859e-13	9088
71	[ 3.58698158e-07 -3.02865398e-07]	2.2039181752223594e-13	9216
72	[ 3.58698158e-07 -3.02865398e-07]	2.2039181752223594e-13	9344
73	[-2.60447899e-07  1.91059919e-07]	1.0433700064269391e-13	9472
74	[-2.60447899e-07  1.91059919e-07]	1.0433700064269391e-13	9600
75	[-2.60447899e-07  1.91059919e-07]	1.0433700064269391e-13	9728
76	[-2.60447899e-07  1.91059919e-07]	1.0433700064269391e-13	9856
77	[-2.60447899e-07  1.91059919e-07]	1.0433700064269391e-13	9984
78	[-2.60447899e-07  1.91059919e-07]	1.0433700064269391e-13	10112
79	[-1.05708454e-07  6.35727891e-08]	1.5215776869621386e-14	10240
80	[-1.05708454e-07  6.35727891e-08]	1.5215776869621386e-14	10368
81	[-1.05708454e-07  6.35727891e-08]	1.5215776869621386e-14	10496
82	[-1.05708454e-07  6.35727891e-08]	1.5215776869621386e-14	10624
83	[-1.05708454e-07  6.35727891e-08]	1.5215776869621386e-14	10752
84	[-4.49227487e-09  7.92456561e-08]	6.3000545371785824e-15	10880
85	[-4.49227487e-09  7.92456561e-08]	6.3000545371785824e-15	11008
86	[-2.49667511e-10 -3.86475266e-08]	1.493693649335149e-15	11136
87	[-2.49667511e-10 -3.86475266e-08]	1.493693649335149e-15	11264
88	[-2.49667511e-10 -3.86475266e-08]	1.493693649335149e-15	11392
89	[-2.49667511e-10 -3.86475266e-08]	1.493693649335149e-15	11520
90	[-2.49667511e-10 -3.86475266e-08]	1.493693649335149e-15	11648
91	[-2.49667511e-10 -3.86475266e-08]	1.493693649335149e-15	11776
92	[-7.29330892e-09 -2.68557984e-08]	7.744262642290493e-16	11904
93	[-7.29330892e-09 -2.68557984e-08]	7.744262642290493e-16	12032
94	[ 1.06859567e-08 -2.06418982e-08]	5.402776313368408e-16	12160
95	[ 1.06859567e-08 -2.06418982e-08]	5.402776313368408e-16	12288
96	[-5.88718616e-10  2.08272625e-08]	4.341214512058703e-16	12416
97	[-7.29330892e-09  3.89787631e-09]	6.838579479068137e-17	12544
98	[-7.29330892e-09  3.89787631e-09]	6.838579479068137e-17	12672
99	[-7.29330892e-09  3.89787631e-09]	6.838579479068137e-17	12800
100	[1.23535531e-09 1.10454317e-09]	2.74611834044401e-18	12928
101	[1.23535531e-09 1.10454317e-09]	2.74611834044401e-18	13056
102	[1.23535531e-09 1.10454317e-09]	2.74611834044401e-18	13184
103	[1.23535531e-09 1.10454317e-09]	2.74611834044401e-18	13312
104	[1.23535531e-09 1.10454317e-09]	2.74611834044401e-18	13440
105	[1.23535531e-09 1.10454317e-09]	2.74611834044401e-18	13568
106	[1.23535531e-09 1.10454317e-09]	2.74611834044401e-18	13696
107	[1.23535531e-09 1.10454317e-09]	2.74611834044401e-18	13824
108	[1.23535531e-09 1.10454317e-09]	2.74611834044401e-18	13952
109	[-1.16384488e-09 -1.03148665e-09]	2.4184996132299332e-18	14080
110	[-1.16384488e-09 -1.03148665e-09]	2.4184996132299332e-18	14208
111	[-2.24650610e-10  6.47475964e-10]	4.696930200782871e-19	14336
112	[ 1.23729064e-10 -3.96017875e-11]	1.6877182752013786e-20	14464
113	[ 1.23729064e-10 -3.96017875e-11]	1.6877182752013786e-20	14592
114	[ 1.23729064e-10 -3.96017875e-11]	1.6877182752013786e-20	14720
115	[ 1.23729064e-10 -3.96017875e-11]	1.6877182752013786e-20	14848
116	[ 1.23729064e-10 -3.96017875e-11]	1.6877182752013786e-20	14976
117	[ 1.23729064e-10 -3.96017875e-11]	1.6877182752013786e-20	15104
118	[ 1.23729064e-10 -3.96017875e-11]	1.6877182752013786e-20	15232
119	[ 1.23729064e-10 -3.96017875e-11]	1.6877182752013786e-20	15360
120	[ 1.23729064e-10 -3.96017875e-11]	1.6877182752013786e-20	15488
121	[ 1.23729064e-10 -3.96017875e-11]	1.6877182752013786e-20	15616
122	[ 1.23729064e-10 -3.96017875e-11]	1.6877182752013786e-20	15744
123	[ 1.23729064e-10 -3.96017875e-11]	1.6877182752013786e-20	15872
124	[ 1.23729064e-10 -3.96017875e-11]	1.6877182752013786e-20	16000
125	[ 1.23729064e-10 -3.96017875e-11]	1.6877182752013786e-20	16128
126	[ 1.23729064e-10 -3.96017875e-11]	1.6877182752013786e-20	16256
127	[-3.77295911e-11 -3.76248178e-11]	2.8391489590938558e-21	16384
128	[-3.77295911e-11 -3.76248178e-11]	2.8391489590938558e-21	16512
129	[-3.77295911e-11 -3.76248178e-11]	2.8391489590938558e-21	16640
130	[-3.77295911e-11 -3.76248178e-11]	2.8391489590938558e-21	16768
131	[-3.77295911e-11 -3.76248178e-11]	2.8391489590938558e-21	16896
132	[-3.77295911e-11 -3.76248178e-11]	2.8391489590938558e-21	17024
133	[ 3.96727564e-11 -8.64207828e-12]	1.6486131209621109e-21	17152
134	[-7.40274334e-12 -2.44541887e-11]	6.528079540509983e-22	17280
135	[1.23015880e-11 2.10010717e-11]	5.923740773688209e-22	17408
136	[-4.19831048e-12 -5.06336170e-12]	4.326344254155081e-23	17536
137	[-4.19831048e-12 -5.06336170e-12]	4.326344254155081e-23	17664
138	[-4.19831048e-12 -5.06336170e-12]	4.326344254155081e-23	17792
139	[-4.19831048e-12 -5.06336170e-12]	4.326344254155081e-23	17920
140	[-4.19831048e-12 -5.06336170e-12]	4.326344254155081e-23	18048
141	[-4.19831048e-12 -5.06336170e-12]	4.326344254155081e-23	18176
142	[-4.19831048e-12 -5.06336170e-12]	4.326344254155081e-23	18304
143	[-4.27728858e-12 -3.85392601e-12]	3.314794326340349e-23	18432
144	[ 2.71859529e-12 -3.44732182e-12]	1.9274788089296018e-23	18560
145	[-1.07218028e-13 -5.34730054e-13]	2.974319357332756e-25	18688
146	[-1.07218028e-13 -5.34730054e-13]	2.974319357332756e-25	18816
147	[-1.07218028e-13 -5.34730054e-13]	2.974319357332756e-25	18944
148	[-1.07218028e-13 -5.34730054e-13]	2.974319357332756e-25	19072
149	[-1.07218028e-13 -5.34730054e-13]	2.974319357332756e-25	19200
150	[-1.07218028e-13 -5.34730054e-13]	2.974319357332756e-25	19328
151	[-1.07218028e-13 -5.34730054e-13]	2.974319357332756e-25	19456
152	[-1.07218028e-13 -5.34730054e-13]	2.974319357332756e-25	19584
153	[-1.07218028e-13 -5.34730054e-13]	2.974319357332756e-25	19712
154	[-1.07218028e-13 -5.34730054e-13]	2.974319357332756e-25	19840
155	[-1.07218028e-13 -5.34730054e-13]	2.974319357332756e-25	19968
156	[-1.07218028e-13 -5.34730054e-13]	2.974319357332756e-25	20096
157	[-1.07218028e-13 -5.34730054e-13]	2.974319357332756e-25	20224
158	[2.65812359e-13 3.02167324e-13]	1.6196130210319715e-25	20352
159	[ 2.94540124e-13 -6.78682532e-14]	9.135998423763702e-26	20480
160	[-1.88643769e-13 -1.59608971e-13]	6.106149517224727e-26	20608
161	[-1.88643769e-13 -1.59608971e-13]	6.106149517224727e-26	20736
162	[2.82684053e-15 4.78355068e-14]	2.296226742887151e-27	20864
163	[2.82684053e-15 4.78355068e-14]	2.296226742887151e-27	20992
164	[2.82684053e-15 4.78355068e-14]	2.296226742887151e-27	21120
165	[2.82684053e-15 4.78355068e-14]	2.296226742887151e-27	21248
166	[2.82684053e-15 4.78355068e-14]	2.296226742887151e-27	21376
167	[2.82684053e-15 4.78355068e-14]	2.296226742887151e-27	21504
168	[2.82684053e-15 4.78355068e-14]	2.296226742887151e-27	21632
169	[2.82684053e-15 4.78355068e-14]	2.296226742887151e-27	21760
170	[2.82684053e-15 4.78355068e-14]	2.296226742887151e-27	21888
171	[2.82684053e-15 4.78355068e-14]	2.296226742887151e-27	22016
172	[-3.48319852e-15  1.54145724e-14]	2.497417147364232e-28	22144
173	[-3.48319852e-15  1.54145724e-14]	2.497417147364232e-28	22272
174	[-3.48319852e-15  1.54145724e-14]	2.497417147364232e-28	22400
175	[2.58470196e-15 1.54768268e-14]	2.4621285164359913e-28	22528
176	[2.58470196e-15 1.54768268e-14]	2.4621285164359913e-28	22656
177	[ 2.75058298e-15 -8.17259013e-15]	7.435693624133346e-29	22784
178	[ 2.75058298e-15 -8.17259013e-15]	7.435693624133346e-29	22912
179	[ 2.75058298e-15 -8.17259013e-15]	7.435693624133346e-29	23040
180	[ 2.75058298e-15 -8.17259013e-15]	7.435693624133346e-29	23168
181	[1.12746345e-15 7.33206964e-15]	5.503041905544111e-29	23296
182	[1.12746345e-15 7.33206964e-15]	5.503041905544111e-29	23424
183	[ 1.10545422e-15 -1.63831419e-15]	3.906102430028936e-30	23552
184	[ 1.10545422e-15 -1.63831419e-15]	3.906102430028936e-30	23680
185	[1.10545422e-15 9.68654959e-16]	2.1603214702183114e-30	23808
186	[1.10545422e-15 9.68654959e-16]	2.1603214702183114e-30	23936
187	[1.10545422e-15 9.68654959e-16]	2.1603214702183114e-30	24064
188	[1.10545422e-15 9.68654959e-16]	2.1603214702183114e-30	24192
189	[6.05997901e-16 1.33418964e-15]	2.1472954616913275e-30	24320
190	[6.05997901e-16 1.33418964e-15]	2.1472954616913275e-30	24448
191	[6.05997901e-16 1.33418964e-15]	2.1472954616913275e-30	24576
192	[4.94945409e-16 7.79735056e-16]	8.529577160849937e-31	24704
193	[-4.97404336e-16  6.24971623e-16]	6.380006026886157e-31	24832
194	[ 2.44041765e-16 -2.37339842e-16]	1.158865837099734e-31	24960
195	[-1.71305578e-16  5.52212073e-17]	3.23949829504243e-32	25088
196	[-1.71305578e-16  5.52212073e-17]	3.23949829504243e-32	25216
197	[-1.71305578e-16  5.52212073e-17]	3.23949829504243e-32	25344
198	[-1.71305578e-16  5.52212073e-17]	3.23949829504243e-32	25472
199	[ 1.97085234e-18 -1.72605959e-17]	3.0181242951932686e-34	25600
200	[ 1.97085234e-18 -1.72605959e-17]	3.0181242951932686e-34	25728
201	[ 1.97085234e-18 -1.72605959e-17]	3.0181242951932686e-34	25856
202	[ 1.97085234e-18 -1.72605959e-17]	3.0181242951932686e-34	25984
203	[ 1.97085234e-18 -1.72605959e-17]	3.0181242951932686e-34	26112
204	[ 1.97085234e-18 -1.72605959e-17]	3.0181242951932686e-34	26240
205	[ 1.97085234e-18 -1.72605959e-17]	3.0181242951932686e-34	26368
206	[ 1.97085234e-18 -1.72605959e-17]	3.0181242951932686e-34	26496
207	[ 1.97085234e-18 -1.72605959e-17]	3.0181242951932686e-34	26624
208	[ 1.97085234e-18 -1.72605959e-17]	3.0181242951932686e-34	26752
209	[ 1.97085234e-18 -1.72605959e-17]	3.0181242951932686e-34	26880
210	[1.05061087e-17 1.30734676e-17]	2.8129387520204367e-34	27008
211	[1.05061087e-17 1.30734676e-17]	2.8129387520204367e-34	27136
212	[-1.43211181e-17 -4.08512505e-18]	2.2178266982488053e-34	27264
213	[-1.43211181e-17 -4.08512505e-18]	2.2178266982488053e-34	27392
214	[-1.43211181e-17 -4.08512505e-18]	2.2178266982488053e-34	27520
215	[-1.43211181e-17 -4.08512505e-18]	2.2178266982488053e-34	27648
216	[-2.11519825e-18 -8.46477497e-18]	7.612647898580409e-35	27776
217	[-2.11519825e-18 -8.46477497e-18]	7.612647898580409e-35	27904
218	[ 5.12706370e-18 -4.01763983e-19]	2.6448196527179385e-35	28032
219	[ 5.12706370e-18 -4.01763983e-19]	2.6448196527179385e-35	28160
220	[-3.44280004e-18 -1.75773857e-18]	1.494251701687534e-35	28288
221	[-3.44280004e-18 -1.75773857e-18]	1.494251701687534e-35	28416
222	[-3.44280004e-18 -1.75773857e-18]	1.494251701687534e-35	28544
223	[-3.44280004e-18 -1.75773857e-18]	1.494251701687534e-35	28672
224	[ 1.48912938e-18 -2.20672523e-18]	7.087142544530074e-36	28800
225	[ 1.48912938e-18 -2.20672523e-18]	7.087142544530074e-36	28928
226	[-1.38166646e-18 -5.79794954e-19]	2.245164397817144e-36	29056
227	[-1.38166646e-18 -5.79794954e-19]	2.245164397817144e-36	29184
228	[-3.88102256e-19 -2.81776934e-19]	2.3002160144886477e-37	29312
