#GEN	x_best	f(x_best)	#eval
0	[0.11722802 0.02220503]	0.014235471915856418	1024
1	[-0.0258875  -0.04043359]	0.0023050376196294244	2048
2	[-0.0258875  -0.04043359]	0.0023050376196294244	3072
3	[-0.0258875  -0.04043359]	0.0023050376196294244	4096
4	[-0.0258875  -0.04043359]	0.0023050376196294244	5120
5	[0.01464858 0.01952897]	0.0005959616640135047	6144
6	[0.01464858 0.01952897]	0.0005959616640135047	7168
7	[0.01464858 0.01952897]	0.0005959616640135047	8192
8	[0.01464858 0.01952897]	0.0005959616640135047	9216
9	[0.01464858 0.01952897]	0.0005959616640135047	10240
10	[0.01100465 0.00444674]	0.00014087582424072975	11264
11	[0.01100465 0.00444674]	0.00014087582424072975	12288
12	[-0.00234849 -0.01099894]	0.00012649201754139018	13312
13	[-0.00234849 -0.01099894]	0.00012649201754139018	14336
14	[-0.00234849 -0.01099894]	0.00012649201754139018	15360
15	[-0.00234849 -0.01099894]	0.00012649201754139018	16384
16	[ 0.00829437 -0.00392283]	8.418522675207244e-05	17408
17	[ 0.00829437 -0.00392283]	8.418522675207244e-05	18432
18	[-0.00486376  0.00209356]	2.8039134053273263e-05	19456
19	[-0.00486376  0.00209356]	2.8039134053273263e-05	20480
20	[0.00042424 0.00146684]	2.3315904746147217e-06	21504
21	[0.00042424 0.00146684]	2.3315904746147217e-06	22528
22	[0.00042424 0.00146684]	2.3315904746147217e-06	23552
23	[0.00042424 0.00146684]	2.3315904746147217e-06	24576
24	[-0.00112331  0.00048415]	1.496228980215481e-06	25600
25	[-0.00112331  0.00048415]	1.496228980215481e-06	26624
26	[-0.00112331  0.00048415]	1.496228980215481e-06	27648
27	[-0.00112331  0.00048415]	1.496228980215481e-06	28672
28	[-0.00112331  0.00048415]	1.496228980215481e-06	29696
29	[-0.00112331  0.00048415]	1.496228980215481e-06	30720
30	[-0.00026378  0.0003096 ]	1.654311005057416e-07	31744
31	[-0.00026378  0.0003096 ]	1.654311005057416e-07	32768
32	[-0.00026378  0.0003096 ]	1.654311005057416e-07	33792
33	[-0.00026378  0.0003096 ]	1.654311005057416e-07	34816
34	[-0.00026378  0.0003096 ]	1.654311005057416e-07	35840
35	[ 0.00010317 -0.00028612]	9.250748171862433e-08	36864
36	[ 0.00010317 -0.00028612]	9.250748171862433e-08	37888
37	[-0.00013479 -0.0001718 ]	4.768164417044211e-08	38912
38	[2.91222078e-05 2.01283245e-04]	4.1363047902517857e-08	39936
39	[2.91222078e-05 2.01283245e-04]	4.1363047902517857e-08	40960
40	[-1.83158788e-04  2.06963602e-05]	3.39754807759067e-08	41984
41	[ 0.00011076 -0.0001    ]	2.2267684576273787e-08	43008
42	[1.32885546e-06 6.14003262e-05]	3.771765908189962e-09	44032
43	[1.32885546e-06 6.14003262e-05]	3.771765908189962e-09	45056
44	[1.32885546e-06 6.14003262e-05]	3.771765908189962e-09	46080
45	[1.32885546e-06 6.14003262e-05]	3.771765908189962e-09	47104
46	[-3.05240082e-05  6.56617905e-06]	9.74829786019629e-10	48128
47	[-3.05240082e-05  6.56617905e-06]	9.74829786019629e-10	49152
48	[-2.80530487e-06  1.11628861e-05]	1.3247976091674606e-10	50176
49	[-2.80530487e-06  1.11628861e-05]	1.3247976091674606e-10	51200
50	[-2.80530487e-06  1.11628861e-05]	1.3247976091674606e-10	52224
51	[-2.80530487e-06  1.11628861e-05]	1.3247976091674606e-10	53248
52	[-2.80530487e-06  1.11628861e-05]	1.3247976091674606e-10	54272
53	[7.49858685e-07 6.68472547e-06]	4.5247842626098997e-11	55296
54	[7.49858685e-07 6.68472547e-06]	4.5247842626098997e-11	56320
55	[7.49858685e-07 6.68472547e-06]	4.5247842626098997e-11	57344
56	[7.49858685e-07 6.68472547e-06]	4.5247842626098997e-11	58368
57	[3.94260186e-07 4.55653174e-06]	2.091742258269193e-11	59392
58	[3.94260186e-07 4.55653174e-06]	2.091742258269193e-11	60416
59	[-4.30678220e-06 -6.93461928e-07]	1.9029262351908493e-11	61440
60	[-4.30678220e-06 -6.93461928e-07]	1.9029262351908493e-11	62464
