#GEN	x_best	f(x_best)	#eval
0	[3.77173099 2.92795961]	22.79890210776867	1024
1	[-0.04017079  0.0384782 ]	0.0030942646691918584	2048
2	[ 0.03999815 -0.02010546]	0.002004081353660406	3072
3	[-0.00797854 -0.00223589]	6.86563243640648e-05	4096
4	[ 0.00128255 -0.00192272]	5.3417812682424594e-06	5120
5	[ 0.00524934 -0.00532719]	5.5934528920997925e-05	6144
6	[-0.01498061  0.02129676]	0.0006779704952348043	7168
7	[-0.01247487 -0.00441796]	0.00017514065698925817	8192
8	[ 0.00667356 -0.01483793]	0.00026470062711074786	9216
9	[-0.00142256 -0.00310701]	1.1677169353184491e-05	10240
10	[-0.00066417  0.00184721]	3.853295778053837e-06	11264
11	[-0.00585964 -0.01142506]	0.0001648673966172757	12288
12	[ 0.01719589 -0.00121046]	0.00029716381381229	13312
13	[-0.00051466 -0.00171112]	3.192814575679748e-06	14336
14	[ 0.00311607 -0.00491536]	3.387062474224281e-05	15360
15	[-0.00347421  0.00973477]	0.00010683598113054724	16384
16	[0.01484174 0.00436879]	0.0002393636654359166	17408
17	[0.01150663 0.01523355]	0.0003644636923454486	18432
18	[-0.00856807 -0.00615822]	0.00011133555400441255	19456
19	[-1.70985416e-05  6.65798225e-03]	4.4329020034178914e-05	20480
20	[-0.00225118 -0.01081065]	0.00012193803449157421	21504
21	[-0.00418237  0.00191319]	2.115250161638921e-05	22528
22	[0.00212189 0.00528734]	3.245838534680016e-05	23552
23	[-0.01656468 -0.00940901]	0.00036291815525432697	24576
24	[ 0.00433591 -0.00636619]	5.9328488996647074e-05	25600
25	[ 0.00965056 -0.00035513]	9.325935462276755e-05	26624
26	[0.01037802 0.01544418]	0.00034622605484387753	27648
27	[0.00914878 0.01365714]	0.0002702177034622529	28672
28	[-7.72739926e-05  4.48494029e-03]	2.0120660632652997e-05	29696
29	[ 2.39816266e-03 -3.23775107e-05]	5.752232441775855e-06	30720
30	[0.00511019 0.01140463]	0.00015617964682311598	31744
31	[0.00438497 0.0149042 ]	0.0002413631319230406	32768
32	[-0.00814473 -0.00668596]	0.0001110387699439103	33792
33	[ 0.00258819 -0.00686306]	5.380026413640617e-05	34816
34	[-0.00470697 -0.00588507]	5.6789518277215186e-05	35840
35	[ 0.01135103 -0.02656928]	0.0008347722399366758	36864
36	[ 0.01945058 -0.00888427]	0.00045725520412238143	37888
37	[-0.00715963 -0.0084547 ]	0.0001227423061030336	38912
38	[-0.00307207  0.00339   ]	2.0929718410889245e-05	39936
39	[-0.01183532  0.00356389]	0.0001527761466044474	40960
40	[ 0.00576965 -0.00517848]	6.0105572847220046e-05	41984
41	[0.01678965 0.0039497 ]	0.0002974926103514193	43008
42	[0.02000276 0.00923224]	0.0004853447169975479	44032
43	[-0.00834064  0.00073224]	7.01025179535799e-05	45056
44	[-0.00063248 -0.00388721]	1.551041426109401e-05	46080
45	[-0.00335864  0.02136461]	0.00046772710734295904	47104
46	[-0.00631932 -0.0037995 ]	5.436998121919582e-05	48128
47	[ 0.0045817  -0.01229409]	0.00017213647529546117	49152
48	[0.00222583 0.00655766]	4.7957220019614685e-05	50176
