#GEN	x_best	f(x_best)	#eval
0	[5.12       1.57109149]	28.68272847863864	128
1	[ 0.40661528 -0.76517145]	0.7508233302076599	256
2	[ 0.16703944 -0.67732338]	0.4866691305633682	384
3	[-0.16315504  0.02223548]	0.02711398365282652	512
4	[0.0569036 0.0289239]	0.004074611765286142	640
5	[ 0.04327924 -0.03495344]	0.003094836145505067	768
6	[ 0.01119538 -0.00347413]	0.00013740609455768202	896
7	[0.02656096 0.04817959]	0.0030267572834360114	1024
8	[-0.01273423  0.02121119]	0.0006120750797683563	1152
9	[0.0208023  0.03346904]	0.0015529121664046234	1280
10	[-0.00377508  0.01915636]	0.0003812171993743344	1408
11	[ 0.04815124 -0.04040838]	0.0039513791269786425	1536
12	[-0.03659156 -0.03635437]	0.0026605824984806993	1664
13	[ 0.0228795  -0.03646251]	0.0018529865285337446	1792
14	[0.01161544 0.00887328]	0.00021365351067885628	1920
15	[0.01365736 0.00442899]	0.00020613949162061543	2048
16	[-0.00425102 -0.02394302]	0.0005913393542120587	2176
17	[0.03077379 0.01117042]	0.001071804630179839	2304
18	[ 0.0150744  -0.00078554]	0.0002278545906865811	2432
19	[0.04861795 0.01353535]	0.002546910663586541	2560
20	[ 0.03495926 -0.03008972]	0.002127541112359888	2688
21	[0.00502128 0.02661978]	0.0007338262104377307	2816
22	[-0.02737788 -0.08690549]	0.008302112239932593	2944
23	[0.04997489 0.05496436]	0.005518570410722536	3072
24	[ 0.00448654 -0.02183002]	0.000496678815440955	3200
25	[ 0.01601248 -0.01230314]	0.0004077666318292157	3328
26	[-0.02370522  0.02140153]	0.0010199625850807914	3456
27	[ 0.04942824 -0.02458746]	0.0030476939524338516	3584
28	[-0.01743169  0.00268098]	0.00031105152825198123	3712
29	[0.06526256 0.05351211]	0.007122746622627395	3840
30	[0.02215268 0.00684694]	0.0005376217988899239	3968
31	[ 0.01272949 -0.01056854]	0.0002737338963054966	4096
32	[-0.00708533 -0.05638234]	0.003229170530325002	4224
33	[-0.00411909  0.0244568 ]	0.000615102045133773	4352
34	[ 0.00054401 -0.00895567]	8.049992860089787e-05	4480
35	[-0.01753078 -0.00738929]	0.00036192992294872475	4608
36	[ 0.00166783 -0.02274042]	0.0005199083734440446	4736
37	[0.02516973 0.03181951]	0.0016459966111886486	4864
38	[-0.02491814  0.00964743]	0.0007139867234255881	4992
39	[ 0.0251727 -0.0044594]	0.000653551217266254	5120
40	[ 0.05262585 -0.00410083]	0.0027862971764329608	5248
41	[-0.00606693  0.00960002]	0.0001289680656382102	5376
42	[-0.03113854 -0.00151037]	0.0009718901729476614	5504
43	[ 0.04079598 -0.01350627]	0.0018467316462025814	5632
44	[0.0272746  0.01336561]	0.0009225430447530775	5760
45	[-0.03385649  0.01819085]	0.001477169158158217	5888
46	[0.04210002 0.02778036]	0.002544160062557326	6016
47	[-0.02423659 -0.01193014]	0.0007297407249900513	6144
48	[-0.0105282   0.00086011]	0.00011158269736368025	6272
49	[-0.01779205  0.00012305]	0.0003165723278337964	6400
50	[-0.00052906  0.01132961]	0.0001286400756290931	6528
51	[ 0.00989623 -0.03911081]	0.0016275908500021827	6656
52	[0.02086511 0.07522098]	0.006093547960688742	6784
53	[0.00527526 0.04131074]	0.0017344056778297876	6912
54	[-0.0424801  -0.01541675]	0.002042235226526571	7040
55	[-0.0589804   0.01190607]	0.003620442303160549	7168
56	[-0.00093519  0.03993237]	0.0015954686963996218	7296
