#GEN	x_best	f(x_best)	#eval
0	[4.13791566 1.69512731]	19.9958026159605	1024
1	[-0.01782468  0.06989219]	0.005202637173641834	2048
2	[-0.00133138 -0.09021873]	0.008141191184770392	3072
3	[0.00344478 0.01339068]	0.00019117690421027028	4096
4	[-0.0047343   0.01768536]	0.0003351856025683358	5120
5	[-0.00701344  0.00960608]	0.00014146520483445573	6144
6	[-0.00617232 -0.00205552]	4.2322713042941985e-05	7168
7	[-0.0047947   0.00939212]	0.00011120093916132041	8192
8	[-0.00484846 -0.00997228]	0.00012295385481896493	9216
9	[-0.01141536 -0.00962075]	0.00022286921633042232	10240
10	[0.00676624 0.00618311]	8.401279323957625e-05	11264
11	[0.00282499 0.00617102]	4.6062114841124193e-05	12288
12	[-0.01360748  0.0174952 ]	0.0004912455611026357	13312
13	[-0.01010337 -0.00921561]	0.0001870054592070525	14336
14	[-0.00746904  0.00712841]	0.00010660082758107449	15360
15	[ 0.00578987 -0.00707899]	8.363459412970968e-05	16384
16	[ 0.01049231 -0.00107187]	0.00011123744306220106	17408
17	[-0.00226785  0.00332406]	1.6192540857120548e-05	18432
18	[0.01256513 0.01036067]	0.00026522594242416416	19456
19	[ 0.00415488 -0.0034967 ]	2.9489936615228133e-05	20480
20	[0.00540671 0.00787828]	9.12997990327601e-05	21504
21	[-0.00228256  0.01138332]	0.00013479011199664837	22528
22	[-0.00819561  0.01116641]	0.00019185673181570858	23552
23	[ 0.01338166 -0.01365978]	0.00036565853987920253	24576
24	[0.00295238 0.01008448]	0.00011041321619196732	25600
25	[0.01442347 0.01184639]	0.0003483736248829178	26624
26	[-0.00225782  0.00099687]	6.0914969242840935e-06	27648
27	[ 0.00694089 -0.00536286]	7.693614844439783e-05	28672
28	[0.01162894 0.0078181 ]	0.00019635505228576925	29696
29	[0.00796012 0.01789636]	0.0003836431553092665	30720
30	[0.00398174 0.00136256]	1.7710784971945776e-05	31744
31	[-0.0181918 -0.0085542]	0.00040411597746250913	32768
32	[-0.00201757  0.00893613]	8.392501373794835e-05	33792
33	[ 0.0095193  -0.01541458]	0.0003282263064698771	34816
34	[0.00831691 0.00055304]	6.947683536635185e-05	35840
35	[ 0.00780455 -0.01166739]	0.00019703901664145369	36864
36	[-0.00171947 -0.00996878]	0.00010233307631301633	37888
37	[ 0.00547986 -0.00392289]	4.541791686404545e-05	38912
38	[-0.01134101  0.0076335 ]	0.0001868889325588064	39936
39	[0.01056251 0.01277784]	0.00027483962812231363	40960
40	[0.01439508 0.02083173]	0.00064117943044159	41984
41	[-0.00502278 -0.00957212]	0.00011685369306000309	43008
42	[0.00616684 0.01906118]	0.00040135838503444106	44032
43	[-0.00147579 -0.00347769]	1.4272274291134383e-05	45056
44	[-0.00839837  0.00016108]	7.055852329897765e-05	46080
45	[-0.01496685  0.00865512]	0.0002989175950863314	47104
46	[-0.02497818  0.00771629]	0.0006834504653259807	48128
47	[ 0.01837804 -0.00987392]	0.000435246571144268	49152
48	[ 0.00454349 -0.00011931]	2.0657528511092755e-05	50176
49	[ 0.00155329 -0.00662585]	4.6314584408956365e-05	51200
50	[-0.00119507 -0.00474872]	2.397854256851045e-05	52224
51	[ 0.00405499 -0.00818985]	8.351661231064207e-05	53248
52	[-0.0072355   0.00292156]	6.088800779738442e-05	54272
53	[0.00684169 0.01641663]	0.0003163145165239317	55296
54	[-0.01028298 -0.00200167]	0.00010974636968809238	56320
55	[-0.02525618 -0.00511322]	0.0006640197517859869	57344
56	[-0.00250388  0.00834395]	7.58908649904195e-05	58368
57	[ 0.01614966 -0.00976428]	0.00035615250799737923	59392
58	[-0.00212492 -0.01301281]	0.0001738485795108466	60416
59	[-0.00390118 -0.01605317]	0.00027292361409766676	61440
60	[0.01510467 0.01531753]	0.00046277769320017905	62464
61	[-0.01716481  0.00760696]	0.00035249654480077144	63488
62	[0.00368037 0.00105682]	1.4661988723710166e-05	64512
63	[-0.00144871  0.0192575 ]	0.0003729499147455066	65536
64	[0.01882335 0.0117602 ]	0.0004926210296060608	66560
65	[0.02568077 0.00616364]	0.0006974925028397413	67584
66	[0.01179552 0.0005438 ]	0.0001394300352405303	68608
67	[-0.00865685  0.01473858]	0.0002921666826567619	69632
68	[0.01196173 0.0024448 ]	0.0001490599834577655	70656
69	[-0.01023875  0.01300169]	0.0002738759042996632	71680
70	[-0.01027488 -0.01128207]	0.0002328582525902335	72704
71	[ 0.00621261 -0.00024367]	3.8655948535821585e-05	73728
72	[0.00255911 0.02037282]	0.00042160095871710283	74752
73	[ 0.00760061 -0.01575854]	0.00030610074868719315	75776
74	[0.01562696 0.01788344]	0.0005640193324803224	76800
75	[0.02369634 0.01789248]	0.000881657508879109	77824
76	[-0.01087925  0.00417403]	0.00013578065973560561	78848
77	[0.02280018 0.00290374]	0.0005282798417223794	79872
78	[0.00020739 0.00651408]	4.24762725262422e-05	80896
79	[ 0.01169766 -0.00766711]	0.0001956198737532804	81920
80	[0.00800026 0.01355744]	0.0002478083425077246	82944
81	[-0.00936408 -0.0051837 ]	0.00011455676439180065	83968
82	[ 0.02004148 -0.00565779]	0.0004336716250328644	84992
83	[-0.00288011 -0.0053271 ]	3.6673009612321125e-05	86016
84	[-0.00566061 -0.0054328 ]	6.155777435492912e-05	87040
85	[0.00099636 0.00276868]	8.658336596061366e-06	88064
86	[-0.01358588  0.00550946]	0.0002149302933119405	89088
87	[-0.00927009 -0.01775063]	0.00040101930880209096	90112
88	[ 0.00600333 -0.01348721]	0.00021794480304034226	91136
89	[-0.00503263  0.00291695]	3.3835949044323885e-05	92160
90	[-0.00818956  0.0046678 ]	8.885730753053574e-05	93184
91	[-0.00833414 -0.00313831]	7.930687974469397e-05	94208
92	[0.00729699 0.00246623]	5.932830097448029e-05	95232
93	[ 0.00422493 -0.00289549]	2.6233854184020348e-05	96256
94	[ 0.00367104 -0.00623195]	5.231370124863448e-05	97280
95	[-0.00421931 -0.00020409]	1.7844238582597133e-05	98304
96	[ 0.0108231  -0.00219154]	0.00012194236407740457	99328
97	[-0.01209296  0.00245377]	0.00015226056013827396	100352
Result: mean = 0.20437937888612712 std = 2.009514795504776
