#GEN	x_best	f(x_best)	#eval
0	[1.74864199 5.12      ]	29.272148813825623	128
1	[-0.27108172 -0.05975727]	0.07705623260173147	256
2	[0.13314536 0.27032883]	0.09080536072643504	384
3	[0.14454483 0.06978686]	0.025763414476448393	512
4	[-0.05947431  0.03154748]	0.004532437392518404	640
5	[ 0.00235249 -0.02583371]	0.0006729148657437699	768
6	[-0.00408122 -0.02187207]	0.000495043639485224	896
7	[-0.00033113 -0.0097361 ]	9.490125028823699e-05	1024
8	[-0.00367923  0.03081785]	0.0009632765949858867	1152
9	[0.00775393 0.01479367]	0.00027897613839680666	1280
10	[-0.03034143  0.02720218]	0.001660560529820445	1408
11	[ 0.02437391 -0.00772399]	0.0006537473875153232	1536
12	[ 0.03700186 -0.01884279]	0.0017241881528751147	1664
13	[-0.02414354 -0.02149864]	0.0010451019870421196	1792
14	[ 0.02514677 -0.02749417]	0.0013882895163391256	1920
15	[-0.0003689   0.03047896]	0.0009291033660875534	2048
16	[-0.03307322  0.03412684]	0.002258479139796604	2176
17	[-0.02059199  0.05046621]	0.0029708685818274874	2304
18	[-0.02006353 -0.04343122]	0.0022888159356548683	2432
19	[-0.01092932 -0.01617705]	0.0003811469765771115	2560
20	[0.01794662 0.01121371]	0.0004478283608300626	2688
21	[-0.0122885  -0.03616261]	0.0014587419385514208	2816
22	[ 0.01343465 -0.00794155]	0.0002435581162895217	2944
23	[-0.01490914 -0.0005598 ]	0.00022259580153336474	3072
24	[0.04794401 0.02753487]	0.0030567973293217604	3200
25	[ 0.05407166 -0.02883158]	0.0037550049009166114	3328
26	[-0.03883833 -0.00949411]	0.001598554029928149	3456
27	[-0.03605358 -0.01293175]	0.0014670906792026324	3584
28	[0.00179845 0.07084631]	0.005022433890590463	3712
29	[-0.02603811 -0.05918915]	0.004181338624033088	3840
30	[0.05181558 0.01715098]	0.0029790106418666274	3968
31	[ 0.00702915 -0.01593773]	0.0003034201573250899	4096
32	[-0.03962044 -0.00825311]	0.0016378929750287816	4224
33	[-0.02139405  0.00365627]	0.0004710737817516421	4352
34	[ 0.05902402 -0.01255996]	0.0036415870351753634	4480
35	[0.0004397  0.00922429]	8.528092263061813e-05	4608
36	[ 0.03247715 -0.02624382]	0.0017435035844238327	4736
37	[-0.05121916  0.00902361]	0.0027048278300035667	4864
38	[-0.0485781  -0.01881677]	0.0027139028179400696	4992
39	[0.00011358 0.01198962]	0.00014376377370437052	5120
40	[-0.0054426   0.02152859]	0.0004931019750841016	5248
41	[ 0.01449323 -0.01468874]	0.0004258126748403944	5376
42	[-0.01376203  0.00289695]	0.00019778586909878848	5504
43	[0.01958701 0.01251989]	0.0005403985005926881	5632
44	[-0.00347049  0.01995998]	0.0004104450087757386	5760
45	[0.0088715  0.02142986]	0.0005379422252108042	5888
46	[ 0.05636442 -0.00050868]	0.0031772066783573557	6016
47	[ 0.02680715 -0.05903026]	0.004203195644715099	6144
48	[0.01392044 0.00857316]	0.0002672776797647116	6272
49	[-0.0611086  -0.04220577]	0.005515587795391098	6400
50	[0.01661512 0.01194897]	0.00041884019808390444	6528
51	[ 0.06455818 -0.04042704]	0.005802103408248346	6656
52	[ 0.02442568 -0.01701721]	0.0008861988926201633	6784
53	[-0.03492663  0.01579543]	0.0014693651388175866	6912
54	[ 0.01614449 -0.0168805 ]	0.0005455957808559051	7040
55	[ 0.01941749 -0.00728749]	0.00043014642517583953	7168
56	[-0.05970117 -0.05571894]	0.006668829875119651	7296
57	[ 0.00533083 -0.00146145]	3.055359147039727e-05	7424
58	[-0.00985257 -0.00209727]	0.00010147170166623203	7552
59	[-0.01509034 -0.03294931]	0.001313375655979018	7680
60	[0.02665412 0.00827479]	0.0007789142815886574	7808
61	[-0.01147209 -0.01393211]	0.0003257125133519056	7936
62	[0.02709763 0.01344045]	0.0009149273166244814	8064
63	[0.04922157 0.02476827]	0.0030362300085110625	8192
64	[ 0.02521576 -0.00909691]	0.0007185885879590435	8320
65	[ 0.02983398 -0.00474713]	0.0009126016186866283	8448
66	[ 0.00041192 -0.04814644]	0.0023182492087471737	8576
67	[-0.03522787  0.02241076]	0.0017432451739816052	8704
68	[-0.04489902  0.0081466 ]	0.0020822888301300396	8832
69	[-0.00768253 -0.00099248]	6.000628469445996e-05	8960
70	[0.03142518 0.01754333]	0.0012953104940854492	9088
71	[0.00911993 0.0055227 ]	0.00011367335213330551	9216
72	[-2.41078605e-02  5.48564351e-05]	0.0005811919479328086	9344
73	[0.04587683 0.0702418 ]	0.007038593809797866	9472
74	[-0.01023632 -0.0220201 ]	0.0005896672123780511	9600
75	[ 0.03729785 -0.00055984]	0.0013914428426470267	9728
76	[-0.01822034 -0.01697802]	0.00062023421377535	9856
77	[-0.00875668 -0.01353143]	0.00025977902504434726	9984
78	[ 0.01214641 -0.00013458]	0.00014755327300520647	10112
79	[ 0.03282598 -0.01615098]	0.0013383990030592032	10240
80	[-0.0441781  -0.00581351]	0.0019855016707916355	10368
81	[-0.02470262  0.04500012]	0.0026352304816582442	10496
82	[-0.02380842 -0.01111272]	0.0006903333920193065	10624
83	[-0.05181301 -0.02099835]	0.0031255188324993822	10752
84	[ 0.01227413 -0.04237546]	0.0019463338428449023	10880
85	[-0.00365573 -0.00229302]	1.862227717039906e-05	11008
86	[ 0.02621822 -0.0067413 ]	0.0007328403165887156	11136
87	[-0.03241312 -0.00949114]	0.001140692100012281	11264
88	[-0.00572028 -0.00484422]	5.618805683010897e-05	11392
89	[-0.01068104  0.05785844]	0.0034616840077952692	11520
90	[0.00699126 0.01183621]	0.00018897354679921788	11648
91	[ 0.00344087 -0.01446546]	0.0002210891272875579	11776
92	[-0.04401081 -0.03149465]	0.0029288647985187778	11904
93	[ 0.03395747 -0.01836209]	0.0014902756627188977	12032
94	[-0.05246655 -0.01883937]	0.0031076609945837404	12160
95	[-0.01821838  0.00024725]	0.00033197035999843016	12288
96	[-0.00925052  0.02512508]	0.000716841655617638	12416
97	[0.04810014 0.0004813 ]	0.002313855017335566	12544
98	[-0.00893025  0.00508511]	0.00010560769742980215	12672
99	[-2.38572692e-02 -5.15615337e-05]	0.0005691719535627555	12800
100	[0.03620082 0.00060396]	0.0013108643289438983	12928
101	[-0.02039144  0.01715248]	0.0007100184675105721	13056
102	[0.02287855 0.01231194]	0.0006750120803111039	13184
103	[ 0.01001    -0.00549268]	0.0001303696648975382	13312
104	[ 0.0128393 -0.0021574]	0.0001695020140981177	13440
105	[ 0.03469443 -0.01514673]	0.0014331269821223401	13568
106	[0.02130484 0.01810855]	0.0007818156689306817	13696
107	[-0.01591818 -0.02321588]	0.0007923655302739165	13824
108	[-0.01609916 -0.04981246]	0.002740463943412856	13952
109	[0.00318717 0.02206625]	0.0004970773697396873	14080
110	[-0.00628677 -0.01033599]	0.00014635617863853026	14208
111	[-0.07010511 -0.02548434]	0.005564177635376988	14336
112	[-0.01298143  0.00436483]	0.00018756936448341869	14464
113	[0.00084973 0.03715693]	0.001381359414783341	14592
114	[-0.01951306 -0.01550488]	0.0006211610118381338	14720
115	[ 0.00131006 -0.00693065]	4.9750150715815855e-05	14848
116	[ 0.07356413 -0.04375937]	0.007326563564232105	14976
117	[ 0.01071752 -0.00570102]	0.00014736693426423275	15104
118	[-0.0156616   0.00577592]	0.00027864705386668453	15232
119	[-0.00347042 -0.00624419]	5.103375271831078e-05	15360
120	[-0.0153253   0.03254832]	0.0012942579593528839	15488
121	[-0.00348452  0.00183273]	1.5500811188982882e-05	15616
122	[0.00303185 0.02315551]	0.0005453697222392112	15744
123	[-0.00159351  0.06366661]	0.0040559770234802625	15872
124	[0.01681183 0.01444636]	0.0004913349184634296	16000
125	[-0.01107543 -0.01174571]	0.00026062677486511805	16128
126	[-0.00688288  0.02968161]	0.0009283721986661369	16256
127	[-0.04234117 -0.01634428]	0.002059910163854318	16384
128	[ 0.03390922 -0.03803352]	0.0025963837852912134	16512
129	[ 0.01090675 -0.00164451]	0.00012166167282428337	16640
130	[ 0.02990459 -0.00659456]	0.0009377725866017942	16768
131	[-0.01451944  0.01625816]	0.0004751418565811025	16896
132	[-0.02559425  0.0334241 ]	0.0017722364950407909	17024
133	[-0.01494364 -0.01084552]	0.0003409376973943903	17152
134	[0.0215037  0.03966515]	0.0020357331297898734	17280
135	[ 0.01076916 -0.00178627]	0.00011916550399865435	17408
136	[-0.0299491  -0.00644828]	0.0009385286857108756	17536
137	[-8.08942815e-05 -1.42684951e-03]	2.0424434057914146e-06	17664
138	[ 0.08254391 -0.07874024]	0.013013522931017056	17792
139	[-0.01256824 -0.03102215]	0.001120334597583601	17920
140	[-0.04161548 -0.00429768]	0.0017503182548003339	18048
141	[0.00479323 0.00035465]	2.310080876060478e-05	18176
142	[0.01586391 0.00897158]	0.0003321529814558974	18304
143	[0.0356605 0.0022479]	0.001276724394505498	18432
144	[-0.04740198 -0.01447775]	0.002456553040527472	18560
145	[0.02857447 0.04815015]	0.003134936883410439	18688
146	[ 0.01368448 -0.03778585]	0.0016150356239003824	18816
147	[-0.03626489 -0.02803642]	0.0021011833796839427	18944
148	[-0.00684503  0.00689988]	9.446268593007209e-05	19072
149	[ 0.02128704 -0.03271017]	0.0015230929217639006	19200
150	[0.00301759 0.01506403]	0.00023603085731691378	19328
151	[0.03255175 0.00856513]	0.0011329778447042049	19456
152	[ 0.0137211  -0.01942051]	0.000565424768619653	19584
153	[-0.01063328  0.02276046]	0.0006311052576954214	19712
154	[ 0.02846766 -0.00530106]	0.0008385092068936126	19840
155	[-0.01913852  0.04490616]	0.0023828460593653157	19968
156	[-0.01922949  0.01916947]	0.0007372419813387295	20096
157	[0.00642269 0.00611029]	7.858661193442197e-05	20224
158	[0.00968078 0.0245023 ]	0.0006940802883158955	20352
159	[-0.03256039 -0.03025   ]	0.001975241618119065	20480
160	[-0.05215645 -0.0368913 ]	0.004081263492390946	20608
161	[-0.04419959 -0.02719724]	0.002693293712206133	20736
162	[0.01518608 0.00877919]	0.0003076913122056652	20864
163	[ 0.04076615 -0.02680903]	0.0023806028278252024	20992
164	[ 0.03107688 -0.05374163]	0.0038539359354777328	21120
165	[-0.0931981   0.00322775]	0.00869630476134822	21248
166	[-0.01321356  0.03089482]	0.0011290877456313	21376
167	[-0.00272486 -0.00828601]	7.608273091134335e-05	21504
168	[-0.0038259   0.00791043]	7.721252017697928e-05	21632
169	[-0.01715821  0.05535089]	0.003358124616838393	21760
170	[-0.04325875  0.01447175]	0.002080750949876139	21888
171	[-0.00477698 -0.03657027]	0.0013602044992046946	22016
172	[-0.01426553 -0.00193293]	0.00020724162927223996	22144
173	[-0.0183075  -0.05355314]	0.0032031032908792847	22272
174	[-0.03538536 -0.00516005]	0.0012787496779043644	22400
175	[-0.00694874 -0.00987842]	0.0001458681665842053	22528
176	[0.01180907 0.01285854]	0.0003047960076313726	22656
177	[-0.0225881   0.02110263]	0.0009555431794922701	22784
178	[ 0.0166436  -0.01937633]	0.0006524513861984423	22912
179	[0.00051432 0.03278667]	0.001075230572464612	23040
180	[-0.00418448 -0.00905417]	9.948791681743536e-05	23168
181	[ 0.02344457 -0.0601266 ]	0.004164855399911946	23296
182	[0.01577066 0.02348146]	0.0008000925323882803	23424
183	[-0.00149106  0.04868331]	0.0023722882604405174	23552
184	[0.05719309 0.00942014]	0.0033597884634067217	23680
185	[ 0.0071495  -0.00087859]	5.1887263927991014e-05	23808
186	[-0.02749686  0.00296436]	0.0007648650036767773	23936
187	[-8.49584564e-05 -3.80699787e-02]	0.001449330499309854	24064
188	[-0.01938507 -0.00370879]	0.00038953594035012724	24192
189	[-0.0188819  -0.01101043]	0.00047775563262127715	24320
190	[ 0.00814697 -0.01859174]	0.00041202599423945894	24448
191	[0.00568984 0.00787847]	9.444455238427473e-05	24576
192	[-0.01421317  0.03377792]	0.0013429619385746546	24704
193	[ 0.05480701 -0.00038356]	0.0030039554955338414	24832
194	[-0.0132744   0.02593859]	0.000849020132222955	24960
195	[-0.01584793 -0.0070602 ]	0.00030100336044892027	25088
196	[0.00319485 0.0251268 ]	0.000641563047576121	25216
197	[-0.01901487  0.02662716]	0.0010705707074417817	25344
198	[0.0080791  0.00857445]	0.00013879308725595307	25472
199	[-0.00193488 -0.03289816]	0.001086032576024341	25600
200	[-0.00231376 -0.02606703]	0.0006848433408574591	25728
201	[-0.03053885 -0.01165406]	0.00106843811430276	25856
202	[-0.06088212  0.01720414]	0.004002614629034462	25984
203	[ 0.0248368  -0.02738359]	0.001366727613302433	26112
204	[-0.03925048  0.01712517]	0.0018338714079832955	26240
205	[0.04273549 0.03509575]	0.0030580342125861104	26368
206	[-0.01343562 -0.05607872]	0.0033253385174212163	26496
207	[0.05049056 0.01126295]	0.002676150694866762	26624
208	[-0.01946613 -0.01693258]	0.000665642539060386	26752
209	[0.02838981 0.0158625 ]	0.001057600260426292	26880
210	[-0.02465647 -0.04423826]	0.0025649650053043687	27008
211	[-0.00166197  0.00389444]	1.7928801242207868e-05	27136
212	[0.00749057 0.01801983]	0.0003808230557825508	27264
213	[0.01985105 0.01534594]	0.0006295621943503498	27392
214	[-0.05040378 -0.01400624]	0.0027367155523354515	27520
215	[ 0.00248501 -0.00401109]	2.2264128991720946e-05	27648
216	[ 0.00504254 -0.00910229]	0.00010827901028417034	27776
217	[-0.01455204 -0.00638165]	0.00025248722901503905	27904
218	[ 0.03063665 -0.0292765 ]	0.0017957179252274934	28032
219	[-0.02471531 -0.0346736 ]	0.0018131049627068963	28160
220	[0.00664605 0.03872619]	0.0015438874777809481	28288
221	[-0.02523809  0.00598807]	0.0006728181437436402	28416
222	[-0.06710712 -0.01024917]	0.004608410451848314	28544
223	[-0.01430176 -0.00207924]	0.00020886362094005027	28672
224	[-0.03923958  0.03715205]	0.002920019360055493	28800
225	[-0.01714297  0.03711073]	0.0016710879961243175	28928
226	[-0.0648627  -0.00046494]	0.0042073853780540335	29056
227	[0.06545231 0.03462643]	0.005482994732735849	29184
228	[0.00710413 0.01111441]	0.00017399871604090595	29312
229	[-0.02025025 -0.01735989]	0.0007114383659526542	29440
230	[-0.00193106  0.02659398]	0.0007109685630128464	29568
231	[0.03734952 0.01872257]	0.001745521149292449	29696
232	[-0.02321575 -0.06617058]	0.004917516303872337	29824
233	[-0.01962767 -0.04751985]	0.0026433818007502636	29952
234	[-0.04175018 -0.01024361]	0.0018480094644147808	30080
235	[-0.00745182 -0.01141092]	0.00018573863128983667	30208
236	[-0.00595362 -0.02802202]	0.0008206791496681742	30336
237	[-0.01881712 -0.03031788]	0.0012732576603847851	30464
238	[0.07247673 0.00026853]	0.0052529479649064455	30592
239	[0.03260527 0.02227214]	0.0015591519043961768	30720
240	[ 0.02729171 -0.03318815]	0.0018462906445809377	30848
241	[0.03585429 0.0116046 ]	0.001420197090720677	30976
242	[-0.02996633 -0.01682908]	0.0011811988129650304	31104
243	[0.03044475 0.00796781]	0.0009903689661118185	31232
244	[-0.01597418  0.01792389]	0.0005764402067962315	31360
245	[-0.00433706  0.06921189]	0.004809095277984696	31488
246	[-0.00755106  0.0278495 ]	0.0008326128923519761	31616
247	[ 0.03222269 -0.02052569]	0.0014596053044298564	31744
248	[0.03104374 0.04382466]	0.002884315239599577	31872
249	[ 0.00486981 -0.02376073]	0.0005882874480518713	32000
250	[0.01661968 0.01188795]	0.0004175372343683349	32128
251	[ 0.02111778 -0.0287256 ]	0.001271120655749517	32256
252	[-0.01839543 -0.02465078]	0.0009460528461487905	32384
253	[-0.02652822  0.0115942 ]	0.0008381718644782925	32512
254	[ 0.03727347 -0.00322908]	0.0013997385374688637	32640
255	[-0.03004437  0.0047905 ]	0.0009256128821872809	32768
256	[-0.02817217  0.01322367]	0.000968536444507041	32896
257	[0.00519823 0.00112477]	2.828675687397002e-05	33024
258	[-0.01630059  0.02075391]	0.0006964340229056879	33152
259	[-0.00603037  0.04736616]	0.0022799187520211013	33280
260	[ 0.00842169 -0.01368202]	0.00025812260464224025	33408
261	[-0.01062492  0.01172008]	0.00025024918925083264	33536
262	[-0.00184966  0.01952012]	0.00038445650203480406	33664
263	[0.00266576 0.00191108]	1.0758509148952883e-05	33792
264	[-0.02117009 -0.01504267]	0.0006744543722180659	33920
265	[ 0.00436088 -0.01800443]	0.0003431766923706607	34048
266	[0.0031549  0.00822109]	7.753968387927776e-05	34176
267	[0.00876879 0.0054064 ]	0.00010612081094567527	34304
268	[-0.00302975  0.01082065]	0.0001262657468367736	34432
269	[-0.00431385 -0.0124483 ]	0.00017356934860063045	34560
270	[-0.05880415 -0.06338328]	0.007475368129501415	34688
271	[ 0.03020463 -0.01685819]	0.0011965178750890117	34816
272	[-0.02434172  0.01436942]	0.0007989998914579809	34944
273	[ 0.024566   -0.01353625]	0.0007867186058192208	35072
274	[-0.00596395 -0.02905768]	0.0008799175514589138	35200
275	[0.0166461 0.0234742]	0.0008281306598334607	35328
276	[ 0.04088478 -0.0116802 ]	0.001807992476504414	35456
277	[-0.02392782 -0.02948343]	0.001441813306390584	35584
278	[-0.01596528  0.00972489]	0.00034946381580520177	35712
279	[-0.02740436  0.02850584]	0.001563581935171996	35840
280	[-0.00712967 -0.00668871]	9.557111370705316e-05	35968
281	[ 0.02344057 -0.00623252]	0.0005883045914725511	36096
282	[-0.05813296 -0.02114369]	0.0038264961722338058	36224
283	[2.23613762e-05 3.19678513e-02]	0.0010219440171775685	36352
284	[ 0.03364217 -0.00471868]	0.0011540614857088226	36480
285	[0.01223415 0.06287717]	0.0041032135278687544	36608
286	[ 0.00358729 -0.05101945]	0.0026158527610545467	36736
287	[ 0.0449543  -0.03140321]	0.0030070500692990143	36864
288	[-0.02768    -0.00428828]	0.0007845720167012488	36992
289	[-0.00622811 -0.020399  ]	0.00045490860007095377	37120
290	[-0.01298688 -0.04068128]	0.0018236258904422563	37248
291	[-0.02695888 -0.03678514]	0.0020799277342318633	37376
292	[-0.04308793 -0.07164117]	0.006989026829217142	37504
293	[-0.01292699  0.07730041]	0.006142460447675675	37632
294	[-0.02084795  0.00265258]	0.00044167305424261605	37760
295	[0.00415614 0.02743221]	0.0007697994307406496	37888
296	[0.0200054  0.00334675]	0.0004114167427588308	38016
297	[-0.0579144   0.02314073]	0.0038895708329630806	38144
298	[ 0.00577521 -0.0464392 ]	0.0021899523617244752	38272
299	[ 0.02142437 -0.07751604]	0.00646773920648252	38400
300	[0.07155142 0.02608818]	0.005800199258776164	38528
301	[-0.01224182  0.03482695]	0.0013627784387414865	38656
302	[-0.01200997 -0.03449781]	0.0013343385358449067	38784
303	[ 0.0115519  -0.05609652]	0.0032802654546573917	38912
304	[-0.03943842 -0.03598506]	0.0028503132621841717	39040
305	[-0.07386001 -0.02524285]	0.006092502546301703	39168
306	[-0.00847324 -0.0236409 ]	0.0006306881177623984	39296
307	[-0.03121554  0.0425829 ]	0.0027877132564889853	39424
308	[-0.03847784  0.01263317]	0.001640140779287074	39552
309	[0.02422318 0.0163632 ]	0.0008545165474396145	39680
310	[-0.01093885 -0.03392938]	0.0012708610792148483	39808
311	[0.03665092 0.02301258]	0.0018728686023920123	39936
312	[-0.01147194  0.01985002]	0.0005256284732593867	40064
313	[0.04196202 0.04698102]	0.003968027042808664	40192
314	[-0.00873471 -0.01799903]	0.00040026020955000603	40320
315	[-0.02939855  0.00683943]	0.0009110523941554779	40448
316	[0.00120834 0.0409539 ]	0.0016786816790986642	40576
317	[0.0283726  0.00893283]	0.0008847996852515147	40704
318	[ 0.04340953 -0.02644261]	0.002583599014518015	40832
319	[ 0.00296399 -0.02024161]	0.00041850807744250526	40960
320	[ 0.00899178 -0.00078136]	8.14626917506784e-05	41088
321	[ 0.0228903  -0.01194568]	0.000666665104456514	41216
322	[0.00698648 0.00773847]	0.00010869470020647229	41344
323	[-0.0067836   0.03258659]	0.0011079029613656655	41472
324	[-0.00657653 -0.00404189]	5.958760409015401e-05	41600
325	[-0.04933575  0.06735244]	0.006970367618324693	41728
326	[ 0.01106569 -0.00301734]	0.00013155383418969173	41856
327	[-0.02918472 -0.01279668]	0.0010155030144094175	41984
328	[-0.01879954 -0.03017401]	0.0012638936706685032	42112
329	[-0.00181947 -0.00889536]	8.243784341578105e-05	42240
330	[-0.01728667  0.01019092]	0.0004026836407488761	42368
331	[-0.00239635 -0.0351596 ]	0.0012419400739316318	42496
332	[ 0.00686203 -0.01897579]	0.00040716807493988445	42624
333	[-0.07739124  0.04884639]	0.00837537408471098	42752
334	[-0.00252661  0.03445121]	0.0011932694013966198	42880
