#GEN	x_best	f(x_best)	#eval
0	[-0.07843856  0.11221776]	0.018745433784874976	1024
1	[0.07070178 0.05474027]	0.007995239318574467	2048
2	[0.07070178 0.05474027]	0.007995239318574467	3072
3	[0.07070178 0.05474027]	0.007995239318574467	4096
4	[0.05289323 0.06187065]	0.006625671321581735	5120
5	[ 0.05289323 -0.01241184]	0.0029517472392712124	6144
6	[ 0.05289323 -0.01241184]	0.0029517472392712124	7168
7	[ 0.02919661 -0.00740098]	0.0009072164832742682	8192
8	[ 0.02919661 -0.00740098]	0.0009072164832742682	9216
9	[-0.00016659  0.00148368]	2.229070863445632e-06	10240
10	[-0.00016659  0.00148368]	2.229070863445632e-06	11264
11	[-0.00016659  0.00148368]	2.229070863445632e-06	12288
12	[-0.00016659  0.00148368]	2.229070863445632e-06	13312
13	[-0.00016659  0.00148368]	2.229070863445632e-06	14336
14	[-0.00016659  0.00148368]	2.229070863445632e-06	15360
15	[-0.00016659  0.00148368]	2.229070863445632e-06	16384
16	[-0.00016659  0.00148368]	2.229070863445632e-06	17408
17	[-0.00016659  0.00148368]	2.229070863445632e-06	18432
18	[-0.00016659  0.00148368]	2.229070863445632e-06	19456
19	[-0.00016659  0.00148368]	2.229070863445632e-06	20480
20	[-0.00016659  0.00148368]	2.229070863445632e-06	21504
21	[-0.00016659  0.00148368]	2.229070863445632e-06	22528
22	[-0.00016659  0.00148368]	2.229070863445632e-06	23552
23	[-0.00016659  0.00148368]	2.229070863445632e-06	24576
24	[-0.00016659  0.00148368]	2.229070863445632e-06	25600
25	[-0.00016659  0.00148368]	2.229070863445632e-06	26624
26	[-0.00016659  0.00148368]	2.229070863445632e-06	27648
27	[-0.00016659  0.00148368]	2.229070863445632e-06	28672
28	[-0.00016659  0.00148368]	2.229070863445632e-06	29696
29	[-0.00142293 -0.00043157]	2.210990458395529e-06	30720
30	[-1.00390489e-03 -4.82557463e-05]	1.01015364090425e-06	31744
31	[-1.00390489e-03 -4.82557463e-05]	1.01015364090425e-06	32768
32	[-3.52280386e-04 -6.41919963e-05]	1.2822208262758908e-07	33792
