#GEN	x_best	f(x_best)	#eval
0	[3.04841632 3.75047858]	23.358931596679383	1024
1	[ 0.06918577 -0.08196078]	0.011504241408507157	2048
2	[-0.03199247 -0.01145653]	0.001154770393456243	3072
3	[-0.00164675  0.01215487]	0.00015045253541152423	4096
4	[-0.00202612 -0.00275384]	1.1688806224259525e-05	5120
5	[ 0.00911017 -0.0109679 ]	0.00020328992788488945	6144
6	[-0.01714422 -0.01466499]	0.0005089864042328202	7168
7	[-0.01107005 -0.0069113 ]	0.00017031211874195094	8192
8	[-0.00058629  0.0002644 ]	4.136418892797447e-07	9216
9	[0.00292493 0.02616415]	0.0006931177458416686	10240
10	[ 0.00724978 -0.00160062]	5.512131685769833e-05	11264
11	[-0.01521029 -0.01154942]	0.00036474208717705717	12288
12	[ 0.01534698 -0.023865  ]	0.0008050678381581955	13312
13	[-0.00266548  0.01172426]	0.00014456309659027363	14336
14	[ 0.01579867 -0.00434989]	0.00026851960302560357	15360
15	[-0.03188884 -0.00183458]	0.0010202637347604473	16384
16	[-0.00815968 -0.00887751]	0.00014539069182350716	17408
17	[-0.00156795 -0.00282327]	1.0429305450826023e-05	18432
18	[-0.01578683  0.02221677]	0.0007428086021531981	19456
19	[-0.01238235  0.00305738]	0.00016267010496749462	20480
20	[-0.00193259 -0.00637726]	4.440435834959404e-05	21504
21	[-0.00362548 -0.01320739]	0.0001875791580750062	22528
22	[-0.00133426 -0.00327888]	1.2531316496282191e-05	23552
23	[ 0.00040467 -0.00055679]	4.7376811811505904e-07	24576
24	[-0.00434005 -0.00739547]	7.352904700143362e-05	25600
25	[0.00674811 0.00299343]	5.449762605702951e-05	26624
26	[0.00087122 0.01492934]	0.00022364418309643103	27648
27	[ 0.00329302 -0.00181206]	1.4127537649176692e-05	28672
28	[0.00498453 0.00430837]	4.3407513564761714e-05	29696
29	[-0.00599317  0.01131207]	0.00016388104163417272	30720
30	[-0.00802084 -0.01771551]	0.00037817317548221333	31744
31	[0.01625771 0.00862536]	0.0003387100908116405	32768
32	[-0.00254303  0.00970767]	0.000100705881296812	33792
33	[-0.00121169  0.01000467]	0.00010156155775534323	34816
34	[-0.01857416  0.01295845]	0.0005129207225338616	35840
35	[-0.00521839 -0.00859991]	0.00010118993710196762	36864
36	[0.01608692 0.02860691]	0.0010771443967605109	37888
37	[ 0.00220472 -0.00906758]	8.70818021516216e-05	38912
38	[-0.00636759  0.01460672]	0.0002539025760081276	39936
39	[0.01645459 0.00709865]	0.00032114437489494266	40960
40	[-0.01446192 -0.0028319 ]	0.0002171667141191993	41984
41	[ 0.01075567 -0.00376764]	0.00012987954163939215	43008
