#GEN	x_best	f(x_best)	#eval
0	[-0.13041349 -0.02445604]	0.017605775209239848	1024
1	[-0.05827123 -0.06635202]	0.007798126997925427	2048
2	[-0.05827123 -0.06635202]	0.007798126997925427	3072
3	[-0.05827123 -0.06635202]	0.007798126997925427	4096
4	[-0.06086749 -0.06314893]	0.007692637992946501	5120
5	[ 0.04346387 -0.05290869]	0.00468843790519425	6144
6	[0.02849899 0.03201421]	0.0018371019415206087	7168
7	[0.02849899 0.03201421]	0.0018371019415206087	8192
8	[0.02849899 0.03201421]	0.0018371019415206087	9216
9	[0.02849899 0.03201421]	0.0018371019415206087	10240
10	[0.00587173 0.0228261 ]	0.0005555080877794407	11264
11	[0.00415935 0.0228261 ]	0.0005383311062660413	12288
12	[-0.00264037 -0.00776785]	6.73110170557108e-05	13312
13	[-0.00695203  0.00199865]	5.232526189355529e-05	14336
14	[-0.00695203  0.00199865]	5.232526189355529e-05	15360
15	[-0.00695203  0.00199865]	5.232526189355529e-05	16384
16	[-0.00695203  0.00199865]	5.232526189355529e-05	17408
17	[-0.00695203  0.00199865]	5.232526189355529e-05	18432
18	[-0.00025435 -0.00225452]	5.147554998315934e-06	19456
19	[-0.00025435 -0.00225452]	5.147554998315934e-06	20480
20	[-0.00025435 -0.00225452]	5.147554998315934e-06	21504
21	[-0.00025435 -0.00225452]	5.147554998315934e-06	22528
22	[-0.00025435 -0.00225452]	5.147554998315934e-06	23552
23	[-0.00025435 -0.00225452]	5.147554998315934e-06	24576
24	[-0.00025435 -0.00225452]	5.147554998315934e-06	25600
25	[-0.00025435 -0.00225452]	5.147554998315934e-06	26624
26	[-0.00127027 -0.00123478]	3.138264860427435e-06	27648
27	[-0.00127027 -0.00123478]	3.138264860427435e-06	28672
28	[-0.00127027 -0.00123478]	3.138264860427435e-06	29696
29	[0.00028241 0.00139684]	2.0309220185186988e-06	30720
30	[ 0.0006252  -0.00099878]	1.388426956863317e-06	31744
31	[ 0.0006252  -0.00099878]	1.388426956863317e-06	32768
32	[ 0.00022728 -0.0002287 ]	1.0396033020699952e-07	33792
33	[ 0.00022728 -0.0002287 ]	1.0396033020699952e-07	34816
34	[ 0.00022728 -0.0002287 ]	1.0396033020699952e-07	35840
35	[ 0.00022728 -0.0002287 ]	1.0396033020699952e-07	36864
36	[ 0.00022728 -0.0002287 ]	1.0396033020699952e-07	37888
37	[-0.00015267 -0.00019501]	6.133778892416685e-08	38912
38	[-3.34430042e-05  1.09654227e-04]	1.3142483974483285e-08	39936
39	[-3.34430042e-05  1.09654227e-04]	1.3142483974483285e-08	40960
40	[-3.34430042e-05  1.09654227e-04]	1.3142483974483285e-08	41984
41	[-3.34430042e-05  1.09654227e-04]	1.3142483974483285e-08	43008
42	[-3.96443154e-05 -9.44244070e-05]	1.0487640388438472e-08	44032
43	[-2.28658265e-05 -6.59153993e-05]	4.867685886152319e-09	45056
44	[-2.28658265e-05 -6.59153993e-05]	4.867685886152319e-09	46080
45	[-2.28658265e-05 -6.59153993e-05]	4.867685886152319e-09	47104
46	[-2.28658265e-05 -6.59153993e-05]	4.867685886152319e-09	48128
47	[ 3.78998418e-05 -1.53861184e-06]	1.4387653380074037e-09	49152
48	[-2.73487678e-05 -2.00116556e-05]	1.1484214634664537e-09	50176
49	[-2.73487678e-05 -2.00116556e-05]	1.1484214634664537e-09	51200
50	[-1.71417995e-05 -5.31136512e-06]	3.220518879062545e-10	52224
51	[-1.71417995e-05 -5.31136512e-06]	3.220518879062545e-10	53248
52	[-1.71417995e-05 -5.31136512e-06]	3.220518879062545e-10	54272
53	[6.04824636e-06 1.91140223e-06]	4.023474251984431e-11	55296
54	[6.04824636e-06 1.91140223e-06]	4.023474251984431e-11	56320
55	[-4.61820684e-06 -9.39661686e-07]	2.2210798474604246e-11	57344
56	[-4.61820684e-06 -9.39661686e-07]	2.2210798474604246e-11	58368
57	[-4.61820684e-06 -9.39661686e-07]	2.2210798474604246e-11	59392
58	[-4.61820684e-06 -9.39661686e-07]	2.2210798474604246e-11	60416
59	[2.38735398e-06 4.96108482e-07]	5.945582640908924e-12	61440
60	[-2.11507788e-06 -8.72986609e-08]	4.481175491713038e-12	62464
61	[-2.11507788e-06 -8.72986609e-08]	4.481175491713038e-12	63488
62	[4.76935321e-07 1.30591157e-06]	1.932872336356309e-12	64512
63	[4.76935321e-07 1.30591157e-06]	1.932872336356309e-12	65536
64	[6.06316729e-07 4.17789309e-07]	5.421678827443478e-13	66560
