#GEN	x_best	f(x_best)	#eval
0	[0.75714014 5.12      ]	26.78766119521623	128
1	[0.16632894 0.06374688]	0.031728980791508085	256
2	[-0.15698984  0.03316756]	0.025745898493161654	384
3	[ 0.07312603 -0.04163915]	0.007081235236776083	512
4	[0.00968642 0.00461591]	0.0001151333134760056	640
5	[ 0.00932195 -0.00637941]	0.00012759574137492745	768
6	[-0.03467863 -0.03286222]	0.002282532791351701	896
7	[ 0.0537868 -0.0049814]	0.0029178342202906497	1024
8	[ 0.03882594 -0.02352865]	0.0020610506223179615	1152
9	[-0.04452862  0.02461666]	0.0025887777640839415	1280
10	[0.01780962 0.01607194]	0.0005754895259518153	1408
11	[-0.03370171  0.06433054]	0.005274224161071687	1536
12	[0.03283868 0.04475869]	0.003081719826754318	1664
13	[ 0.00844049 -0.00805511]	0.00013612669756193565	1792
14	[-0.01466342 -0.00736041]	0.0002691914852394407	1920
15	[-0.01128417 -0.0120499 ]	0.0002725326299517943	2048
16	[ 0.08156222 -0.00785163]	0.006714043359641371	2176
17	[0.01331661 0.02289668]	0.0007015899295263124	2304
18	[0.0151595  0.00187523]	0.00023332679099445788	2432
19	[0.02610908 0.02555172]	0.0013345747246836846	2560
20	[0.0384747  0.02411701]	0.00206193246607465	2688
21	[-0.06300924 -0.03618867]	0.00527978480308746	2816
22	[ 0.03265862 -0.02391959]	0.0016387323201449435	2944
23	[-0.02418437  0.02435553]	0.0011780757133802058	3072
24	[ 0.03146883 -0.05145925]	0.003638341042732648	3200
25	[-0.00784989 -0.01180015]	0.00020086444317153547	3328
26	[ 0.03200319 -0.01259832]	0.001182921429547045	3456
27	[-0.03927995 -0.01160075]	0.0016774918870680366	3584
28	[-0.00775183 -0.04507658]	0.0020919889079274437	3712
29	[-0.01458747  0.02820508]	0.0010083209388388617	3840
30	[-0.0217399   0.03938142]	0.002023519570966802	3968
31	[0.00981026 0.00707082]	0.00014623758349723297	4096
32	[-0.03295914 -0.03071585]	0.0020297683110806607	4224
33	[-0.00191832  0.04197116]	0.0017652583073843773	4352
34	[ 0.03663333 -0.00892887]	0.0014217255350684067	4480
35	[-0.00348852  0.01587754]	0.00026426607391921963	4608
36	[0.05269924 0.02052912]	0.0031986545753576	4736
37	[ 0.00754873 -0.05385917]	0.0029577932065126458	4864
38	[ 0.04359498 -0.01138565]	0.002030155432877382	4992
39	[0.03643701 0.03109904]	0.0022948059973095757	5120
40	[ 0.01886351 -0.04256892]	0.0021679443933419968	5248
41	[0.04125898 0.04275819]	0.003530566386436277	5376
42	[0.01647109 0.0301814 ]	0.0011822135842916618	5504
43	[-0.0025054  -0.01218816]	0.00015482830609872365	5632
44	[-0.02306771 -0.02743385]	0.0012847353264823411	5760
45	[-0.0134403  -0.00401079]	0.0001967280556612636	5888
46	[ 0.0144229 -0.0117124]	0.0003452002097294306	6016
47	[ 0.03908014 -0.03132347]	0.0025084172330779014	6144
48	[ 0.02214975 -0.00237563]	0.0004962551331620575	6272
49	[0.04088154 0.01614984]	0.0019321178538674638	6400
50	[ 0.01276891 -0.03988203]	0.0017536214062893539	6528
51	[-0.03454714  0.00401761]	0.0012096463277578265	6656
52	[0.00508269 0.02080537]	0.00045869707630347866	6784
53	[ 0.02126697 -0.03052784]	0.0013842331584246175	6912
54	[ 4.96427244e-05 -2.42154931e-02]	0.0005863925707820524	7040
55	[0.01581325 0.03559316]	0.0015169317097282224	7168
56	[-0.01617328 -0.04557864]	0.002338987508011701	7296
57	[-0.01870373  0.00542343]	0.000379242888325547	7424
58	[-0.01675774 -0.01056421]	0.0003924242763995693	7552
59	[-0.00311586  0.01847229]	0.00035093389099764545	7680
60	[ 0.01288039 -0.04123993]	0.001866636331730752	7808
61	[ 0.00026269 -0.01226746]	0.00015055950810405737	7936
62	[0.01393417 0.06743292]	0.004741360010589081	8064
63	[ 0.01008008 -0.0198172 ]	0.0004943292864096602	8192
64	[-0.02771172 -0.04612708]	0.0028956471425057076	8320
65	[ 0.02396113 -0.00731381]	0.0006276277050295668	8448
66	[ 0.01283409 -0.00106918]	0.00016585704179768255	8576
67	[ 0.00701353 -0.00135835]	5.1034644530806486e-05	8704
68	[ 0.02617859 -0.01618308]	0.0009472103585854618	8832
69	[0.00744569 0.02069546]	0.00048374028072908676	8960
70	[0.00426292 0.03523115]	0.0012594066578836638	9088
71	[ 0.00889262 -0.01265934]	0.0002393375372202637	9216
72	[-0.03153945 -0.01359591]	0.00117958585101838	9344
73	[-0.01995321 -0.00628146]	0.0004375872790195782	9472
74	[-0.03340249  0.01013306]	0.0012184049096466503	9600
75	[0.0050523  0.00029423]	2.5612287926729894e-05	9728
76	[-0.02183046 -0.00542687]	0.0005060199081467563	9856
77	[-0.00211417 -0.04179267]	0.0017510966494589874	9984
78	[0.00054176 0.01261582]	0.00015945239884752505	10112
79	[-0.05295085 -0.02686712]	0.0035256351383620675	10240
80	[-0.00137657 -0.02662964]	0.0007110328193475464	10368
81	[-0.0130973   0.00095364]	0.00017244864654739962	10496
82	[-0.03048364  0.00784955]	0.0009908679304467675	10624
83	[ 0.00959053 -0.00040553]	9.214271240755325e-05	10752
84	[0.00628303 0.00223619]	4.4477030990959034e-05	10880
85	[0.00309028 0.04865147]	0.002376514879512032	11008
86	[-0.02680122 -0.04496077]	0.002739776496028982	11136
87	[-0.00061272 -0.00258424]	7.053710911783926e-06	11264
88	[ 0.0157076  -0.01507483]	0.00047397906741748395	11392
89	[0.0228259  0.02956383]	0.0013950415098235715	11520
90	[-0.01460246  0.01648443]	0.00048496801306977607	11648
91	[ 0.04730103 -0.05465492]	0.005224547746034031	11776
92	[0.00413714 0.00382251]	3.172754111223129e-05	11904
93	[-0.02608797 -0.02579887]	0.0013461635892376977	12032
94	[-0.05798305 -0.03369828]	0.004497607422372038	12160
95	[ 0.04465937 -0.02070664]	0.0024232239187782878	12288
96	[0.05526368 0.00771277]	0.0031135606548714392	12416
97	[-0.00450524 -0.01909617]	0.0003849609785811552	12544
98	[-0.01226177  0.03487959]	0.0013669367721943879	12672
99	[0.0069764  0.03147936]	0.0010396206377125674	12800
100	[-0.0115733  -0.03103715]	0.001097246230567853	12928
101	[-0.05761129 -0.00684329]	0.003365891718148657	13056
102	[ 0.0171079  -0.02348733]	0.000844334747828432	13184
103	[-0.03413707  0.02121865]	0.0016155710695797652	13312
104	[ 0.03993548 -0.02249372]	0.0021008104218919275	13440
105	[ 0.02958982 -0.01148298]	0.001007416102796079	13568
106	[-0.0303456  -0.01380301]	0.0011113785283164408	13696
107	[-0.02430302 -0.03318576]	0.001691931421607559	13824
108	[-0.01219113  0.02305825]	0.0006803066000918254	13952
109	[ 0.00465809 -0.03411978]	0.0011858568654733205	14080
110	[-0.00862485 -0.0022372 ]	7.939299828323681e-05	14208
111	[0.00823025 0.03752836]	0.001476114819652362	14336
112	[0.04210891 0.00142221]	0.0017751831138803052	14464
113	[-0.03717727  0.02976434]	0.0022680649650179247	14592
114	[-0.06196024  0.00635912]	0.00387950969626062	14720
115	[0.04457689 0.02501891]	0.002613045136683259	14848
116	[0.01277212 0.041908  ]	0.00191940779833817	14976
117	[0.00700686 0.01134485]	0.00017780165757019648	15104
118	[-0.02293177 -0.01825061]	0.0008589509220117704	15232
119	[-0.02575648 -0.02748954]	0.00141907120417209	15360
120	[ 0.01487231 -0.00598047]	0.00025695156221974694	15488
121	[-0.02063958  0.02567548]	0.0010852227594131943	15616
122	[-0.00279034 -0.04308923]	0.0018644681237501692	15744
123	[0.02252424 0.01727455]	0.0008057516215027385	15872
124	[0.01479526 0.00842044]	0.0002898036394142892	16000
125	[-0.02558683  0.01797306]	0.0009777166047241523	16128
126	[ 0.00764186 -0.06794978]	0.004675570747981116	16256
127	[ 0.01671922 -0.01507232]	0.0005067071461696098	16384
128	[-0.02494358  0.01942853]	0.0009996496440126438	16512
129	[-0.01598539  0.00874418]	0.0003319932483572623	16640
130	[-0.01271671  0.0198431 ]	0.0005554633345260419	16768
131	[0.0107059  0.00410359]	0.00013145569379011682	16896
132	[-0.00601712  0.01612612]	0.00029625763076083226	17024
133	[-0.0332315  0.0452533]	0.003152193605744725	17152
134	[-0.03218854 -0.0149672 ]	0.0012601188479643398	17280
