#GEN	x_best	f(x_best)	#eval
0	[ 0.30803159 -0.07149838]	0.09999547912119366	1024
1	[-0.07293832 -0.06399306]	0.009415109654398436	2048
2	[0.01386163 0.0812684 ]	0.006796697656169432	3072
3	[-0.02189415 -0.01076758]	0.0005952946006912816	4096
4	[-0.02189415 -0.01076758]	0.0005952946006912816	5120
5	[-0.02189415 -0.01076758]	0.0005952946006912816	6144
6	[-0.02189415 -0.01076758]	0.0005952946006912816	7168
7	[-0.02189415 -0.01076758]	0.0005952946006912816	8192
8	[-0.02189415 -0.01076758]	0.0005952946006912816	9216
9	[-0.02189415 -0.01076758]	0.0005952946006912816	10240
10	[-0.02189415 -0.01076758]	0.0005952946006912816	11264
11	[0.02016705 0.01371391]	0.0005947814578331084	12288
12	[-0.00140462  0.01774109]	0.00031671938296194143	13312
13	[-0.00140462  0.01774109]	0.00031671938296194143	14336
14	[ 0.00074015 -0.00233308]	5.991071533891973e-06	15360
15	[ 0.00074015 -0.00233308]	5.991071533891973e-06	16384
16	[ 0.00074015 -0.00233308]	5.991071533891973e-06	17408
17	[ 0.00074015 -0.00233308]	5.991071533891973e-06	18432
18	[ 0.00074015 -0.00233308]	5.991071533891973e-06	19456
19	[ 0.00074015 -0.00233308]	5.991071533891973e-06	20480
20	[ 0.00074015 -0.00233308]	5.991071533891973e-06	21504
21	[ 0.00074015 -0.00233308]	5.991071533891973e-06	22528
22	[0.00105442 0.0018417 ]	4.503674386676548e-06	23552
23	[0.00105442 0.0018417 ]	4.503674386676548e-06	24576
24	[0.00105442 0.0018417 ]	4.503674386676548e-06	25600
25	[-0.00035141  0.00110753]	1.3501084678615453e-06	26624
26	[-0.00035141  0.00110753]	1.3501084678615453e-06	27648
27	[0.00062408 0.00079106]	1.0152441084294783e-06	28672
28	[0.00062408 0.00079106]	1.0152441084294783e-06	29696
29	[-0.00049606 -0.00052029]	5.167702374685323e-07	30720
30	[0.00012523 0.0006068 ]	3.838883476464621e-07	31744
31	[-0.0003371   0.00018044]	1.4619414797097644e-07	32768
32	[-0.0003371   0.00018044]	1.4619414797097644e-07	33792
33	[-0.0003371   0.00018044]	1.4619414797097644e-07	34816
34	[-0.0003371   0.00018044]	1.4619414797097644e-07	35840
35	[ 9.69048404e-05 -2.04125119e-04]	5.105761244267078e-08	36864
36	[ 9.69048404e-05 -2.04125119e-04]	5.105761244267078e-08	37888
37	[ 9.69048404e-05 -2.04125119e-04]	5.105761244267078e-08	38912
38	[ 9.69048404e-05 -2.04125119e-04]	5.105761244267078e-08	39936
39	[ 9.69048404e-05 -2.04125119e-04]	5.105761244267078e-08	40960
40	[-4.43996671e-05  6.00475991e-05]	5.577044592330208e-09	41984
41	[5.85560772e-05 2.39518386e-05]	4.0025047495107504e-09	43008
42	[5.85560772e-05 2.39518386e-05]	4.0025047495107504e-09	44032
43	[-5.17160512e-05  2.61625033e-05]	3.3590265341564934e-09	45056
44	[-5.17160512e-05  2.61625033e-05]	3.3590265341564934e-09	46080
45	[-4.27969791e-05  1.87927856e-06]	1.8351131108785782e-09	47104
46	[1.39817854e-05 1.56865095e-05]	4.415569031568066e-10	48128
47	[1.39817854e-05 1.56865095e-05]	4.415569031568066e-10	49152
48	[1.39817854e-05 1.56865095e-05]	4.415569031568066e-10	50176
49	[1.39817854e-05 1.56865095e-05]	4.415569031568066e-10	51200
50	[1.39817854e-05 1.56865095e-05]	4.415569031568066e-10	52224
51	[1.39817854e-05 1.56865095e-05]	4.415569031568066e-10	53248
52	[-9.32590065e-06 -1.78946357e-05]	4.0719041136223085e-10	54272
53	[-1.68015533e-05  6.38506378e-06]	3.230612334388042e-10	55296
54	[ 7.44752666e-06 -3.98843634e-06]	7.137327769730383e-11	56320
55	[-2.87448171e-06  1.39215983e-08]	8.262838889564976e-12	57344
56	[-2.87448171e-06  1.39215983e-08]	8.262838889564976e-12	58368
57	[-2.87448171e-06  1.39215983e-08]	8.262838889564976e-12	59392
58	[-2.87448171e-06  1.39215983e-08]	8.262838889564976e-12	60416
59	[-2.87448171e-06  1.39215983e-08]	8.262838889564976e-12	61440
60	[-2.87448171e-06  1.39215983e-08]	8.262838889564976e-12	62464
61	[-2.87448171e-06  1.39215983e-08]	8.262838889564976e-12	63488
62	[-2.87448171e-06  1.39215983e-08]	8.262838889564976e-12	64512
63	[-2.87448171e-06  1.39215983e-08]	8.262838889564976e-12	65536
64	[3.83441704e-07 1.24467970e-06]	1.6962550977210603e-12	66560
65	[-6.70452529e-07 -2.86936596e-07]	5.318392045360059e-13	67584
66	[-6.70452529e-07 -2.86936596e-07]	5.318392045360059e-13	68608
67	[-7.26411872e-08  3.90230439e-08]	6.799540031782483e-15	69632
68	[-7.26411872e-08  3.90230439e-08]	6.799540031782483e-15	70656
69	[-7.26411872e-08  3.90230439e-08]	6.799540031782483e-15	71680
70	[-7.26411872e-08  3.90230439e-08]	6.799540031782483e-15	72704
71	[-7.26411872e-08  3.90230439e-08]	6.799540031782483e-15	73728
72	[-7.26411872e-08  3.90230439e-08]	6.799540031782483e-15	74752
73	[-7.26411872e-08  3.90230439e-08]	6.799540031782483e-15	75776
74	[-7.26411872e-08  3.90230439e-08]	6.799540031782483e-15	76800
75	[-7.26411872e-08  3.90230439e-08]	6.799540031782483e-15	77824
76	[-1.54508232e-08 -5.39813876e-08]	3.1527181441868974e-15	78848
77	[-1.54508232e-08 -5.39813876e-08]	3.1527181441868974e-15	79872
78	[-1.54508232e-08 -5.39813876e-08]	3.1527181441868974e-15	80896
79	[-1.54508232e-08 -5.39813876e-08]	3.1527181441868974e-15	81920
80	[-1.54508232e-08 -5.39813876e-08]	3.1527181441868974e-15	82944
81	[-1.54508232e-08 -5.39813876e-08]	3.1527181441868974e-15	83968
82	[-1.54508232e-08 -5.39813876e-08]	3.1527181441868974e-15	84992
83	[-9.00978735e-09  4.52893878e-08]	2.132304915860883e-15	86016
84	[-1.16277976e-08  6.03927032e-09]	1.716784622672824e-16	87040
85	[-1.16277976e-08  6.03927032e-09]	1.716784622672824e-16	88064
86	[-1.16277976e-08  6.03927032e-09]	1.716784622672824e-16	89088
87	[-1.16277976e-08  6.03927032e-09]	1.716784622672824e-16	90112
88	[6.88617501e-09 6.13030598e-11]	4.742316432996617e-17	91136
89	[6.88617501e-09 6.13030598e-11]	4.742316432996617e-17	92160
90	[6.88617501e-09 6.13030598e-11]	4.742316432996617e-17	93184
91	[6.88617501e-09 6.13030598e-11]	4.742316432996617e-17	94208
92	[6.88617501e-09 6.13030598e-11]	4.742316432996617e-17	95232
93	[6.88617501e-09 6.13030598e-11]	4.742316432996617e-17	96256
94	[6.88617501e-09 6.13030598e-11]	4.742316432996617e-17	97280
95	[6.88617501e-09 6.13030598e-11]	4.742316432996617e-17	98304
96	[6.88617501e-09 6.13030598e-11]	4.742316432996617e-17	99328
97	[ 9.98845400e-10 -8.27278457e-10]	1.682081778889834e-18	100352
#Result: mean = 0.0012476102055945949	std = 0.010093837744433948
