#GEN	x_best	f(x_best)	#eval
0	[2.9866634  3.94515024]	24.484368704690617	128
1	[ 0.4110348  -0.99616946]	1.1613031962948905	256
2	[ 0.59348721 -0.49595609]	0.5981995095343782	384
3	[ 0.23043661 -0.08002447]	0.05950494435149603	512
4	[0.02510244 0.04946724]	0.003077140426695108	640
5	[0.03091609 0.03601034]	0.002252549185137953	768
6	[0.01268372 0.05482069]	0.0031661847441451286	896
7	[ 0.03211036 -0.02151063]	0.0014937823933623797	1024
8	[-0.00714461  0.01069304]	0.00016538652068260798	1152
9	[ 0.00806675 -0.01885401]	0.0004205461270968675	1280
10	[ 0.04319246 -0.04239163]	0.0036626391501758254	1408
11	[-0.06693504  0.00929539]	0.004566704473520167	1536
12	[-0.03680517 -0.04869538]	0.003725860957698197	1664
13	[-0.01540825  0.01015232]	0.00034048374146525306	1792
14	[0.01595681 0.03155156]	0.001250120788045617	1920
15	[-0.00060447  0.01082182]	0.00011747710878745826	2048
16	[-0.01273937  0.04776483]	0.0024437701708521654	2176
17	[-0.0425704  -0.01585217]	0.002063530038243601	2304
18	[ 0.04203419 -0.00232611]	0.0017722838430942896	2432
19	[ 0.01305744 -0.02309609]	0.0007039262706983495	2560
20	[0.02592615 0.0167016 ]	0.0009511086797274493	2688
21	[-0.04569499 -0.00890601]	0.002167349109060147	2816
22	[-0.0231563  -0.00654713]	0.0005790793939483185	2944
23	[-0.01260023  0.04029614]	0.0017825449991618226	3072
24	[-0.0229079   0.02291283]	0.0010497693414337904	3200
25	[-0.00794372 -0.00279838]	7.093362042834727e-05	3328
26	[0.02708994 0.02583958]	0.001401548749653492	3456
27	[ 0.04975935 -0.01950403]	0.0028563999079960637	3584
28	[-0.00674089 -0.0070834 ]	9.56141863210667e-05	3712
29	[-0.00335047 -0.03179565]	0.0010221886963214162	3840
30	[-0.03518349 -0.01679904]	0.0015200858322618788	3968
31	[ 0.01116166 -0.02652319]	0.000828062080898817	4096
32	[ 0.01720572 -0.0208531 ]	0.0007308887493330419	4224
33	[0.02432486 0.0280262 ]	0.001377166862211282	4352
34	[-0.03080593  0.00850439]	0.0010213300227584158	4480
35	[-0.01825076 -0.00646354]	0.00037486766757173983	4608
36	[-0.00060411 -0.04564756]	0.0020840645365174963	4736
37	[-0.01273267  0.01939026]	0.0005381032526089395	4864
38	[0.04862971 0.04284628]	0.004200651889155681	4992
39	[ 0.038466   -0.00338288]	0.001491077222355041	5120
40	[0.01090789 0.00878842]	0.00019621826757500676	5248
41	[0.01771676 0.03050251]	0.001244286758420486	5376
42	[0.01676452 0.0022432 ]	0.0002860810048162987	5504
43	[-0.00764087  0.01701745]	0.0003479764777331279	5632
44	[0.00492954 0.02948706]	0.0008937871131644299	5760
45	[0.02455651 0.00104348]	0.0006041108816731507	5888
46	[-0.01815539  0.02804717]	0.0011162621098254227	6016
47	[0.00364436 0.02256806]	0.0005225987258194427	6144
48	[-0.01211856 -0.05241272]	0.002893953072936919	6272
49	[-0.00486307  0.04208487]	0.0017947857053484434	6400
50	[0.02879191 0.03372939]	0.0019666460357113417	6528
51	[-0.00964554 -0.01493842]	0.00031619266154574903	6656
52	[0.01886155 0.01868155]	0.0007047584242104941	6784
53	[-0.02336934  0.02398774]	0.0011215373167134243	6912
54	[0.03559417 0.04624417]	0.0034054679039150597	7040
55	[ 0.02341716 -0.04353783]	0.00244390623169965	7168
56	[-0.02815599 -0.04382327]	0.00271323867093597	7296
57	[ 0.00278773 -0.00685277]	5.47319855729476e-05	7424
58	[-0.0254057   0.01038058]	0.0007532058123514711	7552
59	[-0.04984043  0.03980897]	0.004068822948310213	7680
60	[ 0.00568415 -0.03503804]	0.0012599739890267715	7808
61	[-0.01949205  0.0116912 ]	0.0005166241282008757	7936
62	[0.00505864 0.03600373]	0.0013218581447253313	8064
