#GEN	x_best	f(x_best)	#eval
0	[-0.14590678 -0.18667628]	0.05613682304630664	1024
1	[-0.10185495  0.128507  ]	0.026888477852338236	2048
2	[-0.133573  -0.0289246]	0.018678378782545833	3072
3	[-0.133573  -0.0289246]	0.018678378782545833	4096
4	[-0.02239045 -0.0706618 ]	0.005494422759644393	5120
5	[-0.02239045 -0.0706618 ]	0.005494422759644393	6144
6	[-0.02239045 -0.0706618 ]	0.005494422759644393	7168
7	[0.03705657 0.00280833]	0.0013810759185984177	8192
8	[0.03705657 0.00280833]	0.0013810759185984177	9216
9	[0.03705657 0.00280833]	0.0013810759185984177	10240
10	[0.03705657 0.00280833]	0.0013810759185984177	11264
11	[-0.00979824  0.01102719]	0.00021760425919174688	12288
12	[-0.00979824  0.01102719]	0.00021760425919174688	13312
13	[-0.00134387  0.00024942]	1.8681860401326942e-06	14336
14	[-0.00134387  0.00024942]	1.8681860401326942e-06	15360
15	[-0.00134387  0.00024942]	1.8681860401326942e-06	16384
16	[-0.00134387  0.00024942]	1.8681860401326942e-06	17408
17	[-0.00134387  0.00024942]	1.8681860401326942e-06	18432
18	[-0.00134387  0.00024942]	1.8681860401326942e-06	19456
19	[-0.00134387  0.00024942]	1.8681860401326942e-06	20480
20	[-0.00134387  0.00024942]	1.8681860401326942e-06	21504
21	[-0.00134387  0.00024942]	1.8681860401326942e-06	22528
22	[-0.00134387  0.00024942]	1.8681860401326942e-06	23552
23	[-0.00134387  0.00024942]	1.8681860401326942e-06	24576
24	[-0.00134387  0.00024942]	1.8681860401326942e-06	25600
25	[0.00064359 0.00107236]	1.5641528095308722e-06	26624
26	[0.00064359 0.00107236]	1.5641528095308722e-06	27648
27	[0.00010784 0.00073674]	5.544084160433875e-07	28672
28	[0.00010784 0.00073674]	5.544084160433875e-07	29696
29	[0.00010784 0.00073674]	5.544084160433875e-07	30720
30	[0.00010784 0.00073674]	5.544084160433875e-07	31744
31	[-0.00054337 -0.00013794]	3.14277192597824e-07	32768
32	[1.95734359e-04 3.31309049e-05]	3.9409596219553836e-08	33792
33	[1.95734359e-04 3.31309049e-05]	3.9409596219553836e-08	34816
34	[1.95734359e-04 3.31309049e-05]	3.9409596219553836e-08	35840
35	[1.95734359e-04 3.31309049e-05]	3.9409596219553836e-08	36864
36	[1.95734359e-04 3.31309049e-05]	3.9409596219553836e-08	37888
37	[1.95734359e-04 3.31309049e-05]	3.9409596219553836e-08	38912
