#GEN	x_best	f(x_best)	#eval
0	[-0.09884841  4.73328182]	22.41372776988285	1024
1	[-0.9630542   1.40817877]	2.910440839999775	2048
2	[-0.39184271  0.87015905]	0.9107174839084503	3072
3	[-0.18795258  0.06415649]	0.039442226025638016	4096
4	[-0.04104574 -0.01506262]	0.00191163480599758	5120
5	[ 3.23682858e-03 -6.23870706e-05]	1.0480951403523995e-05	6144
6	[ 0.01176538 -0.00878728]	0.00021564041808124127	7168
7	[-0.00275334  0.00119569]	9.010562279074169e-06	8192
8	[-0.00953049 -0.01660035]	0.0003664017999202756	9216
9	[ 0.00358633 -0.00203095]	1.6986503382100105e-05	10240
10	[-0.01121103 -0.00599264]	0.00016159894352601813	11264
11	[ 0.00321991 -0.00743492]	6.56458996837829e-05	12288
12	[0.00435036 0.00604559]	5.547482557839272e-05	13312
13	[-0.00357353 -0.00873581]	8.90843999526872e-05	14336
14	[ 1.37723350e-02 -2.05833316e-05]	0.00018967763440643864	15360
15	[-0.00068965 -0.01308202]	0.0001716149540281508	16384
16	[0.00451401 0.01462986]	0.00023440915634702423	17408
17	[ 0.00796648 -0.00219904]	6.830050772601761e-05	18432
18	[-0.00899645 -0.00890729]	0.0001602758599635378	19456
19	[0.00528246 0.01018018]	0.0001315405117840441	20480
20	[-0.01255454 -0.00538503]	0.00018661498263252227	21504
21	[-0.00698915  0.00102044]	4.988946870395267e-05	22528
22	[0.01272295 0.00794875]	0.00022505603640967056	23552
23	[-0.01485283  0.00797402]	0.0002841915776399984	24576
24	[0.00054559 0.00012566]	3.134543869042188e-07	25600
25	[-0.01015928 -0.02620029]	0.0007896660046796103	26624
26	[-0.01032441 -0.00862798]	0.00018103551043377561	27648
27	[-0.0030808  -0.00691262]	5.7275633287896756e-05	28672
28	[-0.00941451 -0.00680521]	0.00013494383392110784	29696
29	[-0.00441484  0.00025485]	1.9555773264304098e-05	30720
30	[-0.00872333  0.0038534 ]	9.094514875500673e-05	31744
31	[ 0.01169297 -0.00452159]	0.00015717042613349854	32768
